class	label	URI	parent_class	parent_label	parent_URI	OBI:example_of_usage	OBI:editor_note	OBI:definition
biological_replicate	Biological replicate	http://obi.sourceforge.net/ontology/OBI.owl	reference_participant		http://obi.sourceforge.net/ontology/OBI.owl	A member of a dose-time group; a patient in a given arm of a trial		Biological replicate is a reference participant that is one of a group of participants treated in a manner considered to be biologically identical / from the same environment / with the same characteristics.
blinded_medication	Blinded medication	http://obi.sourceforge.net/ontology/OBI.owl	placebo		http://obi.sourceforge.net/ontology/OBI.owl	Inert pill shaped like aspirin tablet	CDISC definition (in part):  blinded (masked) medications. Products that appear identical in size,	Blinded medication is a placebo designed to be visually indistinguishable from an investigational product
calibration_substance	Calibration substance	http://obi.sourceforge.net/ontology/OBI.owl	reference_substance		http://obi.sourceforge.net/ontology/OBI.owl	ice water (calibrates a thermometer)		Calibration substance is a reference substance used in a calibration protocol to ensure an instrument is accurate
causality_assessment	Causality assessment	http://obi.sourceforge.net/ontology/OBI.owl	assessment		http://obi.sourceforge.net/ontology/OBI.owl			Causality assessment is an assessment role in which the contribution of a study factor towards causing the observed outcome or data is estimated and reported
cellular_feature_identification_objective	cellular_feature_identification_objective	http://obi.sourceforge.net/ontology/OBI.owl	biological_feature_identification_objective		http://obi.sourceforge.net/ontology/OBI.owl			Cellular_feature_identification_objective is a biological_feature_identification_objective role describing a study designed to examine or characterize a biological feature monitored at the cellular level, e.g. stage of cell cycle, stage of differentiation.
certified_irb_professional	Certified IRB Professional	http://obi.sourceforge.net/ontology/OBI.owl	regulation-assigned_role		http://obi.sourceforge.net/ontology/OBI.owl			Certified IRB Professional is a regulation-assigned role requiring certification and charged with review of study design and plan for compliance with standards of the institutions involved in the study.
chemical_stressor	Chemical stressor	http://obi.sourceforge.net/ontology/OBI.owl	treatment_variable		http://obi.sourceforge.net/ontology/OBI.owl	A dose response study design		Chemical stressor is a treatment variable role in a non-clinical study; varying parameter may be concentration of or exposure to a chemical, chemical mixture, biological extract, aerosol, undefined chemical substance 
clinical_laboratory	Clinical laboratory	http://obi.sourceforge.net/ontology/OBI.owl	worker		http://obi.sourceforge.net/ontology/OBI.owl		CDISC definition:  laboratory (clinical). A laboratory providing analyses of samples collected in clinical care or research.	Clinical laboratory is a worker role involved in carrying out assay protocols on specimens derived from a study; this activity occurs outside the study timeline
clinical_research_coordinator	Clinical research coordinator	http://obi.sourceforge.net/ontology/OBI.owl	worker		http://obi.sourceforge.net/ontology/OBI.owl		CDISC Definition:  handles most of the administrative responsibilities of a clinical trial on behalf of a site Synonyms: trial coordinator, study coordinator, research coordinator, clinical coordinator, research nurse, protocol nurse.  Reviews the data before a monitor's visit.	A clinical research coordinator is a worker role comprised of handling the administrative duties of a trial or study.
complete_nutrient	Complete nutrient	http://obi.sourceforge.net/ontology/OBI.owl	nutrient		http://obi.sourceforge.net/ontology/OBI.owl	Rat chow; RPMI medium + serum		Complete nutrient is a nutrient role played by materials capable of sustaining life without additional supplements
conclusion	Conclusion	http://obi.sourceforge.net/ontology/OBI.owl	outcome		http://obi.sourceforge.net/ontology/OBI.owl			A conclusion is a role making a statement about biomedical reality based in part on an interpretation of data generated in an investigation.
consumer_safety_officer	Consumer safety officer	http://obi.sourceforge.net/ontology/OBI.owl	regulator_of_consumables_and_medical_devices		http://obi.sourceforge.net/ontology/OBI.owl	Person charged with serving as CSO	FDA official who coordinates the review	Consumer safety officer is a regulator of consumables and medical devices role in which the review of sponsor data is coordinated
contract_research_organization	Contract research organization	http://obi.sourceforge.net/ontology/OBI.owl	worker		http://obi.sourceforge.net/ontology/OBI.owl			Contract research organization is a worker role of carrying out the study according to the protocol document or study plan delivered by the PI, under the control of the study director.  This role cannot make decisions about the study execution
control_value	Control value	http://obi.sourceforge.net/ontology/OBI.owl	reference_value		http://obi.sourceforge.net/ontology/OBI.owl	Value of test done on solvent-treated control animal at time = 6 in a study where the same test is also done on groups of treated animals at time = 6		Control value is a reference value produced by a measurement or observation of a study participant in a designated control treatment group
crossover_population	Crossover population	http://obi.sourceforge.net/ontology/OBI.owl	reference_participant		http://obi.sourceforge.net/ontology/OBI.owl			Crossover population is a reference participant assigned to a cross-over arm of a trial whereby it serves as a control for itself
culture_medium	Culture medium	http://obi.sourceforge.net/ontology/OBI.owl	complete_nutrient		http://obi.sourceforge.net/ontology/OBI.owl	complete RPMI medium		Culture medium is a nutrient provided to cells and tissue cultured in vitro
cytological_stain	Cytological stain	http://obi.sourceforge.net/ontology/OBI.owl	dye_reporter		http://obi.sourceforge.net/ontology/OBI.owl	DAPI		Cytological stain is a dye used to mark organelles in a cytological preparation
data_pre-processing	Data pre-processing	http://obi.sourceforge.net/ontology/OBI.owl	data_transformation_role		http://obi.sourceforge.net/ontology/OBI.owl	Examples: (a) Filtering of input data; (b) Microarray data normalization.		Data pre-processing is a data transformation role which results in a data analysis element ready for higher-level analysis
data_transformation_role	Data transformation role	http://obi.sourceforge.net/ontology/OBI.owl	Role		http://www.ifomis.org/bfo/1.1/snap	Integrated dataset, normalized dataset, clustered dataset		Data transformation role is a role whereby a data analysis entity is transformed into a different data analysis entity
diagnosis	Diagnosis	http://obi.sourceforge.net/ontology/OBI.owl	assessment		http://obi.sourceforge.net/ontology/OBI.owl		The act or process of identifying or determining the nature and cause of a disease or injury through evaluation	Diagnosis is an assessment of a disease or injury, its likely prognosis and treatment.
direct_experimental_factor	Direct experimental factor	http://obi.sourceforge.net/ontology/OBI.owl	experimental_factor		http://obi.sourceforge.net/ontology/OBI.owl	Dosage; sex; disease state; collection location		Direct experimental factor is an experimental factor role played by any study variable which is directly varied in the protocol application, such as (1) a protocol parameter which is systematically or deliberately varied within the study or (2) selection of study participants with different characteristics or that are from different environments
dropout	Dropout	http://obi.sourceforge.net/ontology/OBI.owl	study_subject		http://obi.sourceforge.net/ontology/OBI.owl	Escaped rat; human who moved to another city	CDISC definition:  dropout. A subject in a clinical trial who for any reason fails to continue in the trial until the last visit or observation required of him/her by the protocol	Dropout is a study subject role characterized by leaving the study earlier than the protocol specified; the bearer was a study participant prior to being a dropout.
drug_role	Drug role	http://obi.sourceforge.net/ontology/OBI.owl	Role		http://www.ifomis.org/bfo/1.1/snap	Acetaminophen; medicinal human growth hormone	CDISC definition:  1. A dosage form that contains an active drug ingredient or placebo; 2. A finished dosage form as described in regulations. [SPL Glossary] also product. 1. Drug product: A finished dosage form that contains a drug substance. 2. A physical entity that is intended to diagnose, treat, or prevent a disease or other abnormal condition, and subject to regulatory authority	Drug role is a role assigned to a biologic or chemical entity by a regulatory agency that is designed to diagnose, treat or prevent an abnormal medical condition
dye_reporter	dye reporter	http://obi.sourceforge.net/ontology/OBI.owl	reporter		http://obi.sourceforge.net/ontology/OBI.owl	Trypan blue; GFP		Dye is a reporter role that uses color as the signal
eligible_population	Eligible population	http://obi.sourceforge.net/ontology/OBI.owl	potential_study_participant		http://obi.sourceforge.net/ontology/OBI.owl	Group of people passing the inclusion criteria for the investigation		Eligible population is a study population role characterized by meeting the inclusion / exclusion criteria
enrolled_population	Enrolled population	http://obi.sourceforge.net/ontology/OBI.owl	study_population		http://obi.sourceforge.net/ontology/OBI.owl		The group of eligible participants that agreed to participate in the trial and signed the informed consent.	Enrolled population is a study population played by subjects who have completed the enrollment process
environmental_characteristic_variable	Environmental characteristic variable	http://obi.sourceforge.net/ontology/OBI.owl	direct_experimental_factor		http://obi.sourceforge.net/ontology/OBI.owl	Varying the collection location for environmental samples in study of chromium levels and effects		Environmental characteristic variable is a direct experimental factor (role) in which the component which varies is a part of the environment or the environmental history of study participants
epitope	Epitope	http://obi.sourceforge.net/ontology/OBI.owl	antigen		http://obi.sourceforge.net/ontology/OBI.owl	amino acids XX to XX on biotin		Epitope is an antigen which specifically interacts with the variable region of the responding antibody
excluded_study_participant	Excluded study participant	http://obi.sourceforge.net/ontology/OBI.owl	potential_study_participant		http://obi.sourceforge.net/ontology/OBI.owl	Person too old for trial inclusion	CDISC definition:  screen failure. Potential subject who did not meet one or more criteria required for participation in a trial. See also screening of subjects. screen/screening (of substances). Screening is the process by which substances are evaluated in a	Excluded study participant is a study participant role of not meeting the inclusion criteria or being excluded by the exclusion criteria
experimental_factor	Experimental factor	http://obi.sourceforge.net/ontology/OBI.owl	Role		http://www.ifomis.org/bfo/1.1/snap	Dosage; time of exposure; serum ALT level; blood pressure	A variable is a Study role assigned to a particular measurable or observable outcome; also marker, biomarker, biological marker	Experimental factor is a role played by any study variable which is hypothesized to contribute to a study outcome, such as (1) a protocol parameter which is systematically or deliberately varied within the study or (2) selection of study participants with different characteristics or that are from different environments
feed	Feed	http://obi.sourceforge.net/ontology/OBI.owl	complete_nutrient		http://obi.sourceforge.net/ontology/OBI.owl	Purina rat chow		Feed is a nutrient provided to laboratory animals
finding	Finding	http://obi.sourceforge.net/ontology/OBI.owl	assessment		http://obi.sourceforge.net/ontology/OBI.owl		CDISC definition: a meaningful interpretation of data or observations resulting from planned evaluations.	Finding is an assessment of data, observations or evaluations from a clinical study which can be used to form a diagnosis
first_subject_screened	First subject screened	http://obi.sourceforge.net/ontology/OBI.owl	potential_study_participant		http://obi.sourceforge.net/ontology/OBI.owl	First person interviewed about study enrollment criteria	first subject screened. First subject who signs the informed consent form and is screened for potential enrollment and randomization into a study, but has not yet been determined to meet the inclusion/exclusion criteria for the trial. who signs the informed consent form and is screened for potential enrollment and randomization into a study, but has not yet been determined to meet the inclusion/exclusion criteria for the trial.	First subject screened is a potential study participant role played by a single individual first to have the inclusion / exclusion criteria applied
first_subject_treated	First subject treated	http://obi.sourceforge.net/ontology/OBI.owl	study_subject		http://obi.sourceforge.net/ontology/OBI.owl	Rat 1A; first enrolled patient to receive treatment	first subject treated. First subject who receives the test article or placebo in a clinical trial.	First subject treated is a subject role played by the subject first to have treatment applied
global_assessment_variable	Global assessment variable	http://obi.sourceforge.net/ontology/OBI.owl	finding		http://obi.sourceforge.net/ontology/OBI.owl		CDISC definition: global assessment variable. A single variable, usually a scale of ordered categorical ratings, which integrates objective variables and the investigator's overall impression about the state or change in state of a subject.	Global assessment variable is a finding describing in a categorical variable the investigator's overall impression about the state or change in state of a subject.
hardware_optimization	hardware_optimization	http://obi.sourceforge.net/ontology/OBI.owl	hardware_testing_objective		http://obi.sourceforge.net/ontology/OBI.owl			Hardware_optimization is a hardware_testing_objective describing a study designed to identify the best hardware.
hardware_testing_objective	hardware_testing_objective	http://obi.sourceforge.net/ontology/OBI.owl	methodology_testing_objective		http://obi.sourceforge.net/ontology/OBI.owl			Hardware_testing_objective is a methodology_testing_objective role describing a study designed to examine the effects of using different hardware, e.g. scanner.
health_care_provider	Health care provider	http://obi.sourceforge.net/ontology/OBI.owl	worker		http://obi.sourceforge.net/ontology/OBI.owl			Healthcare provider is a worker role of providing medical care either within or outside the study timeline
healthy_volunteer	Healthy volunteer	http://obi.sourceforge.net/ontology/OBI.owl	potential_study_participant		http://obi.sourceforge.net/ontology/OBI.owl	Person with controlled diabetes but high blood pressure (with respect to a study of blood pressure therapy)	volunteer. A person volunteering to participate as a subject in a clinical trial, often a healthy person agreeing to participate in a Phase 1 trial. See	Healthy volunteer is a potential study participant role played by a person who is healthy in all aspects relevant to the trial
high-level_analysis	High-level analysis	http://obi.sourceforge.net/ontology/OBI.owl	data_transformation_role		http://obi.sourceforge.net/ontology/OBI.owl	Examples: (a) Clustering of microarray data for class discovery; (b) Identification of differentially expressed genes.		High-level analysis is a data transformation role which results in conclusions drawn from a data analysis element
historic_value	Historic value	http://obi.sourceforge.net/ontology/OBI.owl	reference_value		http://obi.sourceforge.net/ontology/OBI.owl	Lab average values for ALT assay done in Sprague Dawley rats		Historic control value is a reference value consisting of measurements or observations of unperturbed or baseline subjects averaged over a period of time by the lab making the measures for the study
hypothesis	Hypothesis	http://obi.sourceforge.net/ontology/OBI.owl	Role		http://www.ifomis.org/bfo/1.1/snap	Darwin's theory of evolution		Hypothesis is a role played by a proposition describing a reasoned proposal suggesting a possible correlation between multiple phenomena.
impartial_witness	Impartial witness	http://obi.sourceforge.net/ontology/OBI.owl	regulation-assigned_role		http://obi.sourceforge.net/ontology/OBI.owl	Notary public	impartial witness. A person, who is independent of the trial, who cannot be unfairly influenced by people involved with the trial, who attends the informed consent process if the subject or the subject's legally acceptable representative cannot read, and who	An impartial witness is a regulation-assigned role in which informed consent of a potential study participant is witnessed
inactive_isomer	Inactive isomer	http://obi.sourceforge.net/ontology/OBI.owl	negative_reference_substance		http://obi.sourceforge.net/ontology/OBI.owl	1,4-dichlorobenzene		Inactive isomer is a negative reference substance consisting of an isomer of an active or toxic chemical which lacks comparable activity 
independent_data_monitoring_committee	Independent data monitoring committee	http://obi.sourceforge.net/ontology/OBI.owl	trial_monitor		http://obi.sourceforge.net/ontology/OBI.owl		CDISC definition:   independent data monitoring committee (IDMC). A committee established by the sponsor to assess at intervals the progress of a clinical trial, safety data, and critical efficacy variables and recommend to the sponsor whether to continue, modify, or end the trial; data and safety monitoring board (DSMB; CDISC)	Independent data monitoring committee is a trial monitor role charged recommending whether to continue, modify, or end the trial
indirect_experimental_factor	Indirect experimental factor	http://obi.sourceforge.net/ontology/OBI.owl	experimental_factor		http://obi.sourceforge.net/ontology/OBI.owl	Serum cholesterol as marker of coronary stress		Indirect experimental factor is an experimental factor role of any measurement or observation correlated with the effects of a parameter that is directly varied
internal_review_board	Internal Review Board	http://obi.sourceforge.net/ontology/OBI.owl	regulation-assigned_role		http://obi.sourceforge.net/ontology/OBI.owl		CDISC definition:  institutional review board; independent ethics committee (IEC). An independent body (a review board or a committee, institutional, regional, national, or supranational) constituted of medical/scientific professionals and non-scientific members, whose responsibility it is to ensure the protection of the rights, safety and well-being of human subjects involved in a trial.	Internal review board is a regulation-assigned role ensuring ethical conduct of the study
intervention_variable	Intervention variable	http://obi.sourceforge.net/ontology/OBI.owl	treatment_variable		http://obi.sourceforge.net/ontology/OBI.owl	Variable in a clinical trial	CDISC definition: intervention. The drug, device, therapy or process under investigation in a clinical trial which has an effect on outcome of interest in a study: e.g., health-related quality of life, efficacy, safety, pharmacoeconomics. Synonyms: therapeutic intervention, medical product. See also: test articles; devices;.  medicinal product. Synonym for therapeutic intervention, but usually a drug.	Intervention is a direct experimental factor role assigned to a study variable in a clinical study
investigation_site	Investigation site	http://obi.sourceforge.net/ontology/OBI.owl	Role		http://www.ifomis.org/bfo/1.1/snap	A field, a laboratory, a medical institute, a pharmaceutical company		Investigation site is a role played by the physical location wherein an investigation or parts thereof occur
laboratory	Laboratory	http://obi.sourceforge.net/ontology/OBI.owl	administrative_unit		http://obi.sourceforge.net/ontology/OBI.owl			Laboratory is an administrative unit role played by an organization and its members who perform clinical assays or non-clinical trials  
legally_acceptable_representative	Legally acceptable representative	http://obi.sourceforge.net/ontology/OBI.owl	regulation-assigned_role		http://obi.sourceforge.net/ontology/OBI.owl	Parent of minor patient	legally acceptable representative. An individual or juridical or other body authorized under applicable law to consent, on behalf of a prospective subject, to the subject's participation in the clinical trial. [ICH, E6 Glossary]	An legally-acceptable representative is a regulation-assigned role in which informed consent of a potential study participant is given
medical_institution	Medical institution	http://obi.sourceforge.net/ontology/OBI.owl	administrative_unit		http://obi.sourceforge.net/ontology/OBI.owl		External definitions.  CDISC:  Any public or private entity or agency or medical or dental facility where clinical trials are conducted. [ICH].  An independent body constituted of medical, scientific, and non-scientific members; study-site (RCT schema)	Medical institution is an administrative unit role played by an organization and its members who perform clinical assays or trials  
medical_monitor	Medical monitor	http://obi.sourceforge.net/ontology/OBI.owl	trial_monitor		http://obi.sourceforge.net/ontology/OBI.owl		CDISC definition:  medical monitor. A sponsor representative who has medical authority for the evaluation of the safety aspects of a clinical trial	Medical monitor is a trial monitor role with medical authority for the evaluation of the safety aspects of a clinical trial
metabolite	Metabolite	http://obi.sourceforge.net/ontology/OBI.owl	Role		http://www.ifomis.org/bfo/1.1/snap	N-acetyl-benzoquinoneimine (NAPQI) produced from acetaminophen		A metabolite is a role characterized by being the product of catabolism or metabolism by a living organism
methodology_testing_objective	methodology_testing_objective	http://obi.sourceforge.net/ontology/OBI.owl	objective		http://obi.sourceforge.net/ontology/OBI.owl			Methodology_testing_objective is an objective role carried out by a proposition defining the aim of the study is to examine the effect of using different methodologies.
mock_surgery	Mock surgery	http://obi.sourceforge.net/ontology/OBI.owl	sham_treatment		http://obi.sourceforge.net/ontology/OBI.owl	Liver sparing sham hepatectomy		Mock surgery is a sham treatment designed to imitate the harmless portion of a surgical intervention
molecular_feature_identification_objective	molecular_feature_identification_objective	http://obi.sourceforge.net/ontology/OBI.owl	biological_feature_identification_objective		http://obi.sourceforge.net/ontology/OBI.owl			Molecular_feature_identification_objective is a biological_feature_identification_objective role describing a study designed to examine or characterize molecular features of a biological system, e.g. expression profiling, copy number of molecular components, epigenetic modifications.
negative_reference_substance	Negative reference substance	http://obi.sourceforge.net/ontology/OBI.owl	reference_substance		http://obi.sourceforge.net/ontology/OBI.owl	Saline solution		Negative reference substance is a reference substance with the property that it is expected to produce little or no effect in the system being measured
notified_body	Notified Body	http://obi.sourceforge.net/ontology/OBI.owl	regulator_of_consumables_and_medical_devices		http://obi.sourceforge.net/ontology/OBI.owl	Committee charged with serving as NB	Notified Body (NB). A private institution charged by the Competent Authority with verifying compliance of medical devices (not drugs) with the applicable Essential Requirements stated in the Medical Device Directive. This process, called Conformity Assessment, has EU-wide validity once completed by the NB.	Notified body is regulator of consumables and medical devices charged by the Competent Authority with verifying compliance of medical devices (not drugs) with the applicable Essential Requirements stated in the Medical Device Directive
nutrient	Nutrient	http://obi.sourceforge.net/ontology/OBI.owl	Role		http://www.ifomis.org/bfo/1.1/snap	Luria broth; vitamin A		A nutrient is a role played by any continuant which can be metabolized for nutrition by a living organism
nutritional_supplement	Nutritional supplement	http://obi.sourceforge.net/ontology/OBI.owl	nutrient		http://obi.sourceforge.net/ontology/OBI.owl	growth factor, vitamin		Nutritional supplement is a nutrient role played by additives to feed or culture medium which enhance its nutritive properties
objective	Objective	http://obi.sourceforge.net/ontology/OBI.owl	Role		http://www.ifomis.org/bfo/1.1/snap	purpose of a study; support of hypothesis, discovery of new information	Answers the question, why did you do this experiment?	Objective is a role played by a proposition stating something worked toward or striven for in the course of an investigation
organism_feature_identification_objective	organism_feature_identification_objective	http://obi.sourceforge.net/ontology/OBI.owl	biological_feature_identification_objective		http://obi.sourceforge.net/ontology/OBI.owl			Organism_feature_identification_objective is a biological_feature_identification_objective role describing a study designed to examine or characterize a biological feature monitored at the level of the organism, e.g. height, weight, stage of development, stage of life cycle.
outcome	Outcome	http://obi.sourceforge.net/ontology/OBI.owl	Role		http://www.ifomis.org/bfo/1.1/snap	Data resulting from a measurement; conclusions from a study		Outcome is a role describing the result of a process, protocol, plan or analysis
pathologist	Pathologist	http://obi.sourceforge.net/ontology/OBI.owl	worker		http://obi.sourceforge.net/ontology/OBI.owl			Pathologist is a worker role of being responsible for making the histopathology diagnoses associated with data from a study; this activity occurs outside the study timeline
pathology_review_board	Pathology review board	http://obi.sourceforge.net/ontology/OBI.owl	worker		http://obi.sourceforge.net/ontology/OBI.owl			Pathology review board is a worker role comprised of providing a confirmed and consensus diagnosis for histopathology results obtained during the investigation
patient	Patient	http://obi.sourceforge.net/ontology/OBI.owl	Role		http://www.ifomis.org/bfo/1.1/snap	a hospitalized person; a person with controlled diabetes	CDISC definition:  patient. Person under a physician's care for a particular disease or condition. NOTE: A subject in a clinical trial is not necessarily a patient, but a patient in a clinical trial is a subject. See also subject, trial subject, healthy volunteer. Often used interchangeably	Patient is a role played by a person under the care of a physician or health care provider
ph_indicator_dye	pH indicator dye	http://obi.sourceforge.net/ontology/OBI.owl	dye_reporter		http://obi.sourceforge.net/ontology/OBI.owl	phenol red in RPMI; pH=4 indicator dye (also carries reference role)		A pH indicator dye is a dye which changes color in environments with different levels of protons
placebo	Placebo	http://obi.sourceforge.net/ontology/OBI.owl	negative_reference_substance		http://obi.sourceforge.net/ontology/OBI.owl	Pill consisting of inert materials	CDISC definition placebo. A pharmaceutical preparation that does not contain the investigational agent. In blinded studies, it is generally prepared to be physically indistinguishable from the preparation containing the investigational product.	Placebo is a negative reference substance administered to clinical subjects which lacks the active chemical component of the investigational product
placebo_treatment	Placebo treatment	http://obi.sourceforge.net/ontology/OBI.owl	sham_treatment		http://obi.sourceforge.net/ontology/OBI.owl	Delivery of a pill consisting of inert materials		Placebo treatment is a sham treatment role played in a clinical investigation by a treatment appearing similar to an investigational product but lacking the active chemical component
positive_reference_substance	Positive reference substance	http://obi.sourceforge.net/ontology/OBI.owl	reference_substance		http://obi.sourceforge.net/ontology/OBI.owl	MMS mutagen		Positive reference substance is a reference substance with the property that it is expected to produce the highest level of response in the system being measured
potential_study_participant	Potential study participant	http://obi.sourceforge.net/ontology/OBI.owl	study_participant		http://obi.sourceforge.net/ontology/OBI.owl	People with diabetes in range of a trial site for a new diabetes therapy; SD rats living in Charles River Labs when an order for rats is placed there		Potential study participant is a study participant role in which an independent continuant is considered for inclusion in the study; only applies to independent continuants actively considered, not the set of all independent continuants
principal_investigator	Principal investigator	http://obi.sourceforge.net/ontology/OBI.owl	responsible_party		http://obi.sourceforge.net/ontology/OBI.owl		CDISC definition: A person responsible for the conduct of the clinical trial at a trial site. If a trial is conducted by a team of individuals at a trial site, the investigator is the responsible leader of the team and may be called the principal investigator. 2. The individual principal investigator. 2. The individual under whose immediate direction the test article is administered or dispensed to, or used involving, a subject, or, in the event of an investigation conducted by a team of individuals, is See also sponsor-investigator.; Leiter der klinischen Prufung.Under the German Drug Law, the physician who is head of the clinical investigation (CDISC): coordinating investigator (CDISC) (also study coordinator, MUSC); sponsor-investigator. An individual who both initiates and conducts, alone or with others, a clinical trial, and under whose immediate direction the investigational product is administered to, dispensed to, or used by a subject.NOTE: The term does not include any person other than an individual, hence not a corporation, agency (CDISC)	Principal investigator is a responsible party role played by a person responsible for the overall conduct of a study
protocol_optimization	protocol_optimization	http://obi.sourceforge.net/ontology/OBI.owl	protocol_testing_objective		http://obi.sourceforge.net/ontology/OBI.owl			Protocol_optimization is a protocol_testing_objective role describing a study designed to identify the best protocol.  This may be carried out by comparing different protocols or by modifying the parameters used within a single protocol.
protocol_testing_objective	protocol_testing_objective	http://obi.sourceforge.net/ontology/OBI.owl	methodology_testing_objective		http://obi.sourceforge.net/ontology/OBI.owl			Protocol_testing_objective is a methodology_testing_objective role describing a study designed to examine the effects of using different protocols.
proxy_respondent	Proxy respondent	http://obi.sourceforge.net/ontology/OBI.owl	worker		http://obi.sourceforge.net/ontology/OBI.owl		CDISC Definition:  Proxy respondent. Someone other than the patient who is responding about the patient on behalf of the patient, not as an observer. Compare to observer assessment.	Proxy respondent is a worker role of describing patient's symptoms or condition to medical personnel
psychological_intervention	Psychological intervention	http://obi.sourceforge.net/ontology/OBI.owl	intervention_variable		http://obi.sourceforge.net/ontology/OBI.owl	Test of new psychological therapy		Psychological intervention is an intervention variable in which the varying parameter is a psychological therapy
radiolabel	Radiolabel	http://obi.sourceforge.net/ontology/OBI.owl	reporter		http://obi.sourceforge.net/ontology/OBI.owl	3H		Radiolabel is a reporter role which uses radiological decay as the signal 
reagent	Reagent	http://obi.sourceforge.net/ontology/OBI.owl	Role		http://www.ifomis.org/bfo/1.1/snap	microarray, buffer		Reagent is a role in which the role-bearing continuant is consumed during an assay or study protocol
reagent_supplier	Reagent supplier	http://obi.sourceforge.net/ontology/OBI.owl	supplier		http://obi.sourceforge.net/ontology/OBI.owl			Reagent provider is a supplier of reagents for investigation protocols.  This role occurs before or during the study timeline.
recruited_population	Recruited population	http://obi.sourceforge.net/ontology/OBI.owl	eligible_population		http://obi.sourceforge.net/ontology/OBI.owl	Group of people who have agreed to participate, before they are completely enrolled	CDISC definition: The group of eligible participants that agreed to participate in the trial and signed the informed consent.	Recruited population is an eligible population role played by the set of members who have signed the informed consent form
reference	Reference	http://obi.sourceforge.net/ontology/OBI.owl	Role		http://www.ifomis.org/bfo/1.1/snap	Control value, calibration standard, sham treatment, vehicle, one member of a group of biological replicates		Reference is a role that can support the observation of similarities, differences, relative magnitude or change
reference_medical_device	Reference medical device	http://obi.sourceforge.net/ontology/OBI.owl	reference_treatment		http://obi.sourceforge.net/ontology/OBI.owl	Insertion of approved cardiac pace maker		Reference medical device is a reference treatment used in a clinical investigation of medical device behavior; it is played by an approved medical device.
reference_participant	Reference participant	http://obi.sourceforge.net/ontology/OBI.owl	reference		http://obi.sourceforge.net/ontology/OBI.owl	Saline treated rat; one of three identically-treated subjects		Reference participant is a reference role in which the characteristics or responses of the reference participant are used for comparison or reference. 
reference_substance	Reference substance	http://obi.sourceforge.net/ontology/OBI.owl	reference		http://obi.sourceforge.net/ontology/OBI.owl	Calibration standard, positive control substance, vehicle		Reference substance is a reference role in which the characteristics or responses elicited by the reference substance are used for comparison or reference. 
