class	label	URI	parent_class	parent_label	parent_URI	alternative_term	alternative_term	example_of_usage	example_of_usage	example_of_usage	example_of_usage	owl:equivalentClass	definition_citation	definition_citation	branch	rdfs:comment	definition	editor_note	editor_note	definition_editor	definition_editor	definition_editor	definition_editor	definition_editor	definition_editor	definition_editor	definition_editor	definition_editor	definition_editor	preferred_term	curation_status
OBI_100058	xenograft	http://obi.sourceforge.net/ontology/OBI.owl	_biomaterial_deprecated		http://obi.sourceforge.net/ontology/OBI.owl	xenotransplant		Human xenotransplantation (e.g. from pig to human) offers a potential treatment for end-stage organ failure, a significant health problem in parts of the industrialized world					http://en.wikipedia.org/wiki/Xenograft				Living cells, tissues or organs that have been transplanted  from one species to another.	MC: xenotransplantation should be submited to material_transformation		Melanie Courtot										xenograft	definition_incomplete
OBI_264		http://obi.sourceforge.net/ontology/OBI.owl																													
OBI_100025	reverse transcriptase	http://obi.sourceforge.net/ontology/OBI.owl	OBI_100024		http://obi.sourceforge.net/ontology/OBI.owl	RNA-dependent DNA polymerase		Avian reverse transcriptase transcribes RNA into complementary DNA.					http://en.wikipedia.org/wiki/Reverse_transcriptase				A reverse transcriptase is a DNA polymerase enzyme that transcribes single-stranded RNA into single-stranded DNA.	MC: should be a child of DNA polymerase		Melanie Courtot										reverse transcriptase	definition_incomplete
OBI_100038	vector	http://obi.sourceforge.net/ontology/OBI.owl	_biomaterial_deprecated		http://obi.sourceforge.net/ontology/OBI.owl			The DNA expressing the protein of interest was inserted within pM13 which was then transfected into a cell line to facilitate expression of the protein.	plasmid vector	viral vector			Adapted from http://en.wikipedia.org/wiki/Vector_%28biology%29				A vector is a vehicle for transferring genetic material into a cell. It is an autonomous replicating vehicle which can be modified by the insertion of foreign DNA and when introduced into recipient cells does not alter the viability of those cells.			Melanie Courtot										vector	definition_incomplete
OBI_100012	ecotype	http://obi.sourceforge.net/ontology/OBI.owl	OBI_100007		http://obi.sourceforge.net/ontology/OBI.owl			A. thaliana Ecotype Ler					MO_71	http://en.wikipedia.org/wiki/Ecotype			An ecotype of a specie is subgroup of members of that species characterized by the ecological surroundings it inhabits.			Melanie Courtot	Helen Parkinson									ecotype	definition_incomplete
OBI_1000005	homogenous substance	http://obi.sourceforge.net/ontology/OBI.owl	_unclassified		http://obi.sourceforge.net/ontology/OBI.owl			none									Any form of matter (material) that is homogeneous throughout, i.e. solid, liquid, gas	DS: Create alternative terms material or matter then, and move up in hierarchy...		Susanna										homogenous substance	definition_incomplete
OBI_100035	immortal cell	http://obi.sourceforge.net/ontology/OBI.owl	OBI_100009		http://obi.sourceforge.net/ontology/OBI.owl			a single Hela cell					none				a cell derived from a multicellular organism that has the potential to replicate indefinately	added as hierarchy term		Bjoern Peters										immortal cell	definition_incomplete
OBI_10000009	?chromium_51	http://obi.sourceforge.net/ontology/OBI.owl	OBI_336		http://obi.sourceforge.net/ontology/OBI.owl			example_of_usage to be added					source pending				definition pending	DS: What is this? An instance or a class?		OBI										?chromium_51	definition_incomplete
material		http://obi.sourceforge.net/ontology/OBI.owl	IndependentContinuant		http://www.ifomis.org/bfo/1.1/snap												Material is any of bfo:Object, bfo:ObjectAggregate, or bfo:FiatObjectPart.	Because OBI spans many levels of granularity, we can't effectively use the BFO three level granularity model. Thus we erase the difference using this strategy of saying it is any of the material like entities in BFO		PERSON:Alan Ruttenberg											
OBI_100004	diplotype	http://obi.sourceforge.net/ontology/OBI.owl	OBI_100002		http://obi.sourceforge.net/ontology/OBI.owl	haplotype pair		TCCG/CCTG at the ADH1B					Tina Boussard/PharmGBK				A diplotype is the association of two alleles of a haplotype (or simple gene allele) in a diploid organism.	MC: is diplotype a diploid genotype? (cf haplotype)		Helen Parkinson										diplotype	definition_incomplete
OBI_265	pool_of_specimens	http://obi.sourceforge.net/ontology/OBI.owl	OBI_264		http://obi.sourceforge.net/ontology/OBI.owl												A pool of specimens is a sample population that is a set of specimens which have been gathered from one or more sample_populations, obtained by the physical process of mixing individual specimens, e.g.  mixing the DNA collected from the individual fish. definition_source: OBI.	check with advisors as to how to represent multiple instances of any class? a set of specimens which have been gathered from one or more sample_populations, obtained by the physical process of mixing individual specimens, e.g.  mixing the DNA collected from the individual fish													
OBI_100007	natural biomaterial	http://obi.sourceforge.net/ontology/OBI.owl	OBI_100080		http://obi.sourceforge.net/ontology/OBI.owl			example_of_usage to be added									definition pending	DS: Assign metadata and ID\nTHIS IS NOT A GOOD PARENT CONCEPT - THIS SHOULD BE A QUALITY.  JAMES												natural biomaterial	definition_incomplete
OBI_100085	protein	http://obi.sourceforge.net/ontology/OBI.owl	OBI_100069		http://obi.sourceforge.net/ontology/OBI.owl			hemoglobin					http://en.wikipedia.org/wiki/Protein				Proteins are large organic compounds made of amino acids arranged in a linear chain and joined together by peptide bonds between the carboxyl and amino groups of adjacent amino acid residues.	TEMP FOR NOW FOR STRUCTURE - MAY NEED TO REMOVE THIS.  JAMES\nHAS MADE_UP_OF RELATION WITH POLYPEPTIDE CONCEPT.  JAMES		Melanie Courtot	James Malone									protein	definition_incomplete
OBI_100010	Epstein Barr virus transformed B cell	http://obi.sourceforge.net/ontology/OBI.owl	OBI_100009		http://obi.sourceforge.net/ontology/OBI.owl			example_of_usage to be added																						Epstein Barr virus transformed B cell	definition_incomplete
OBI_100029	bacterium	http://obi.sourceforge.net/ontology/OBI.owl	OBI_100071		http://obi.sourceforge.net/ontology/OBI.owl			Staphylococcus	Thiomargarita namibiensis	Streptococcus			OBI				A bacterium is an organism that is a single-celled prokaryote.			Melanie Courtot										bacterium	definition_incomplete
OBI_100034	cell derived from multicellular organism	http://obi.sourceforge.net/ontology/OBI.owl	OBI_100082		http://obi.sourceforge.net/ontology/OBI.owl			lymphocyte					none				A cell derived from a multicellular organism	added as hierarchy term\nHMMM.. THE CONCEPT HERE IS CELL, ITS ORIGIN IS A DIFFERENT CONCEPT LINKED BY A RELTION SUCH AS ORIGNATED_FROM OR SIMILAR.  SUGGEST REMOVE THIS AND ADD APPROPRIATE RELATION. JAMES		Bjoern Peters										cell derived from multicellular organism	definition_incomplete
OBI_100021	strain	http://obi.sourceforge.net/ontology/OBI.owl	OBI_100081		http://obi.sourceforge.net/ontology/OBI.owl			Canton S is a strain of Drosophila					MO				A strain is the collective descendants of a common ancestor; synonyms: race, stock, line, or breed.			Tina Boussard										strain	definition_incomplete
OBI_100083	peptide	http://obi.sourceforge.net/ontology/OBI.owl	OBI_100069		http://obi.sourceforge.net/ontology/OBI.owl													TEMP FOR NOW FOR STRUCTURE - MAY NEED TO REMOVE THIS.  JAMES\nHAS PART_OF RELATION WITH POLYPEPTIDE CONCEPT\nHAS MADE_UP_OF RELATION WITH AMINO ACID CONCEPT.  JAMES		James Malone										peptide	definition_incomplete
OBI_100057	multicellular entity of organismal origin	http://obi.sourceforge.net/ontology/OBI.owl	OBI_100051		http://obi.sourceforge.net/ontology/OBI.owl			Extraction					OBI				A multicellular entity of organismal origin is an entity of organismal origin that is a heterogeneous biomaterial entity which is either part of an organism or which is obtained from an organism by "material transformation process"	multicellular entity of organismal origin "has role" some ex-vivo state in obi before split (LF 040907).												multicellular entity of organismal origin	definition_incomplete
OBI_100066	organ section	http://obi.sourceforge.net/ontology/OBI.owl	OBI_100059		http://obi.sourceforge.net/ontology/OBI.owl			A liver slice used in a perfusion experiment					CEBS				An organ_section is a portion of an organ removed from the context of the organ	section needs to be added as process		Helen Parkinson										organ section	definition_incomplete
OBI_100042	differentiation state	http://obi.sourceforge.net/ontology/OBI.owl	_biomaterial_deprecated		http://obi.sourceforge.net/ontology/OBI.owl			Prostate epithelial transit amplifying cells					ArrayExpress				The differentiation state is a descriptor of a cell's properties at some defined point in the differentiation process recognisable by some observable characteristic such as morphology.			Helen Parkinson										differentiation state	definition_incomplete
OBI_100073	RNA virus	http://obi.sourceforge.net/ontology/OBI.owl	OBI_100027		http://obi.sourceforge.net/ontology/OBI.owl			yellow fever virus	hepatitis C				http://en.wikipedia.org/wiki/RNA_viruses				An RNA virus is a virus that has ribonucleic acid (RNA) as its genetic material and does not replicate using a DNA intermediate.			Melanie Courtot	James Malone									RNA virus	definition_incomplete
OBI_100069	polymer	http://obi.sourceforge.net/ontology/OBI.owl	OBI_100022		http://obi.sourceforge.net/ontology/OBI.owl													TEMP FOR NOW FOR STRUCTURE - MAY NEED TO REMOVE THIS.  JAMES		James Malone										polymer	definition_incomplete
OBI_100081	_move to aggregate object?	http://obi.sourceforge.net/ontology/OBI.owl	_biomaterial_deprecated		http://obi.sourceforge.net/ontology/OBI.owl			example_of_usage to be added					source pending			this class should eventually be removed	All classes yet to be suitably placed in a hierarchy			James Malone											definition_incomplete
OBI_100048	solution	http://obi.sourceforge.net/ontology/OBI.owl	OBI_100044		http://obi.sourceforge.net/ontology/OBI.owl								PSI				A homogeneous mixture of two or more substances	MC: should be a state		Susanna										solution	definition_incomplete
OBI_100080	_move to quality?	http://obi.sourceforge.net/ontology/OBI.owl	_biomaterial_deprecated		http://obi.sourceforge.net/ontology/OBI.owl			example_of_usage to be added					source pending			this class should eventually be removed	All classes yet to be suitably placed in a hierarchy			James Malone											definition_incomplete
person		http://obi.sourceforge.net/ontology/OBI.owl	material		http://obi.sourceforge.net/ontology/OBI.owl												a human being regarded as an individual														
OBI_100078	protist	http://obi.sourceforge.net/ontology/OBI.owl	OBI_100030		http://obi.sourceforge.net/ontology/OBI.owl			algae	protozoa				http://en.wikipedia.org/wiki/Protist				Protists are a diverse group of organisms, comprising those eukaryotes that cannot be classified in any of the other kingdoms as fungi, animals, or plants.			Melanie Courtot	James Malone									protist	definition_incomplete
OBI_100055	cell line	http://obi.sourceforge.net/ontology/OBI.owl	OBI_100009		http://obi.sourceforge.net/ontology/OBI.owl			example_of_usage to be added					OBI				A cell line is an entity of organismal origin that represents generations of a primary culture.													cell line	definition_incomplete
OBI_181	population	http://obi.sourceforge.net/ontology/OBI.owl	material		http://obi.sourceforge.net/ontology/OBI.owl												A population is an object aggregate in which the entities have common qualities. definition_source: OBI.	rem1: collection somehow always involve a selection process													
OBI_100054	cellular compartment	http://obi.sourceforge.net/ontology/OBI.owl	OBI_100053		http://obi.sourceforge.net/ontology/OBI.owl			cytosol									part of a cell enlosed by a membrane.													cellular compartment	definition_incomplete
OBI_100049	suspension	http://obi.sourceforge.net/ontology/OBI.owl	OBI_100044		http://obi.sourceforge.net/ontology/OBI.owl								PSI				Substance floating in a liquid medium	MC: should be a state		Susanna										suspension	definition_incomplete
OBI_336	_ChEB _object	http://obi.sourceforge.net/ontology/OBI.owl	_unclassified		http://obi.sourceforge.net/ontology/OBI.owl			example_of_usage to be added					source pending				objects of chemical or biological interest	Import of ChEBI ontology		OBI										_ChEB _object	definition_incomplete
OBI_100070	amino acid	http://obi.sourceforge.net/ontology/OBI.owl	OBI_100068		http://obi.sourceforge.net/ontology/OBI.owl													TEMP FOR NOW FOR STRUCTURE - MAY NEED TO REMOVE THIS.  JAMES		James Malone										amino acid	definition_incomplete
OBI_100022	biomolecule	http://obi.sourceforge.net/ontology/OBI.owl	_biomaterial_deprecated		http://obi.sourceforge.net/ontology/OBI.owl			keratin					http://en.wikipedia.org/wiki/Biomolecule				A biomolecule is a molecule that naturally occurs in living organisms and biological systems.	MC: do we want a sibling to include chemicals for example?		James Malone										biomolecule	definition_incomplete
_unclassified		http://obi.sourceforge.net/ontology/OBI.owl	_biomaterial_deprecated		http://obi.sourceforge.net/ontology/OBI.owl			example_of_usage to be added					source pending			this class should eventually be removed	All classes yet to be suitably placed in a hierarchy			James Malone											definition_incomplete
OBI_1000029	phage display library	http://obi.sourceforge.net/ontology/OBI.owl	_unclassified		http://obi.sourceforge.net/ontology/OBI.owl	display_library		Phage display library encoding fragments of human antibodies. m-rna library encoding for 9-mer peptides					IEDB				group of biomaterials in which a mixture of genes or gene fragments is expressed and can be individually selected and amplified.			Bjoern Peters										phage display library	definition_incomplete
_biomaterial_deprecated	biomaterial(deprecated)	http://obi.sourceforge.net/ontology/OBI.owl	material		http://obi.sourceforge.net/ontology/OBI.owl			example_of_usage to be added							biomaterial(deprecated)		A biomaterial entity is an object of biological origin. definition_source: OBI.	Domain of an object property "has_role_which_can_only_be_played_by_biomaterial_entity"  in obi before split, Range: ?role_which_can_only_be_played_by_biomaterial_entity (LF 040907).	call Jan11 2008: Proposal to keep Biomaterial as name of the branch, but with the following definition: object and has_role (sample role or reagent role).. While Device would be an object and ((has_role some instrument_role) or (has_part some (has_role some instrument_role)))	Helen Parkinson	Alan Ruttenberg	Melanie Courtot	Susanna Sansone	Philippe Rocca-Serra	Bjoern Peters	James Malone	Tina Boussard	Jennifer Fostel	Daniel Schober	biomaterial(deprecated)	
OBI_100044	molecular mixture	http://obi.sourceforge.net/ontology/OBI.owl	_biomaterial_deprecated		http://obi.sourceforge.net/ontology/OBI.owl			The material obtained upon homogenizing a biomaterial					MO_889				A molecular mixture is an unspecified collection of heterogeneous molecules, e.g. lipids, carbohydrate , nucleic acids and proteins			Tina Boussard										molecular mixture	definition_incomplete
OBI_100047	emulsion	http://obi.sourceforge.net/ontology/OBI.owl	OBI_100044		http://obi.sourceforge.net/ontology/OBI.owl			lipid emulsion, oil in water emulsion, perfluoro-chemical emulsion, photographic emulsion					PSI				A mixture of immiscible (unblendable) substances, that are finely dispersed and not separate through the action of gravity alone	MC: should be a state		Susanna										emulsion	definition_incomplete
OBI_100052	cell of organismal origin	http://obi.sourceforge.net/ontology/OBI.owl	OBI_100051		http://obi.sourceforge.net/ontology/OBI.owl			example_of_usage to be added									A cell of organismal origin is an entity of organismal origin that contains nuclear and cytoplasmic material enclosed by a semipermeable membrane. definition_source: OBI.	rem1:link to Cell Type Ontology (CO)												cell of organismal origin	definition_incomplete
OBI_100072	DNA virus	http://obi.sourceforge.net/ontology/OBI.owl	OBI_100027		http://obi.sourceforge.net/ontology/OBI.owl			papillomavirus					http://en.wikipedia.org/wiki/DNA_virus				A DNA virus is a virus that has DNA as its genetic material and replicates using a DNA-dependent DNA polymerase.			James Malone	Melanie Courtot									DNA virus	definition_incomplete
OBI_100046	Phosphate buffered saline buffer	http://obi.sourceforge.net/ontology/OBI.owl	OBI_100045		http://obi.sourceforge.net/ontology/OBI.owl	PBS buffer		PBS with EDTA is used to disengage attached and clumped cells.					http://en.wikipedia.org/wiki/Phosphate_buffered_saline				Phosphate buffered saline (abbreviated PBS) is a buffer solution commonly used in biochemistry. It is a salty solution containing sodium chloride, sodium phosphate and potassium phosphate. The buffer helps to maintain a constant pH. The concentration usually matches the human body (isotonic).			Tina Boussard	Melanie Courtot									Phosphate buffered saline buffer	definition_incomplete
OBI_256	site_sample	http://obi.sourceforge.net/ontology/OBI.owl	material		http://obi.sourceforge.net/ontology/OBI.owl			A dirt sample containing different populations of bacteria. A sample of martian water. A sample of gut flora.									An environmental sample is an object that contains an array of objects that may or may not contain a biomaterial. definition_source: OBI.	rem1: this has replaced 'collection of organism' previously used													
OBI_100065	synthetic polypeptide	http://obi.sourceforge.net/ontology/OBI.owl	OBI_100059		http://obi.sourceforge.net/ontology/OBI.owl			the synthesized peptide SIINFEKL which also occurs in hen-egg lysozyme					IEDB				artificially engineered biomaterial consisting of a chain of amino acids	original term: protein fragment split into synthetic polypeptide and fragment derived from protein\nDS: Is this synthetic an oxymoron to the biomaterial?		Bjoern Peters										synthetic polypeptide	definition_incomplete
OBI_100064	screening library	http://obi.sourceforge.net/ontology/OBI.owl	OBI_100059		http://obi.sourceforge.net/ontology/OBI.owl			cdna_library, phage display library									collection of biomaterials engineered to identify qualities of a subset of its members?	added as hierarchy term		Bjoern Peters										screening library	definition_incomplete
OBI_100084	polypeptide	http://obi.sourceforge.net/ontology/OBI.owl	OBI_100069		http://obi.sourceforge.net/ontology/OBI.owl													TEMP FOR NOW FOR STRUCTURE - MAY NEED TO REMOVE THIS.  JAMES\nHAS MADE_UP_OF RELATION WITH PEPTIDE CONCEPT.  JAMES		James Malone										polypeptide	definition_incomplete
OBI_100071	prokaryote	http://obi.sourceforge.net/ontology/OBI.owl	OBI_100026		http://obi.sourceforge.net/ontology/OBI.owl			bacteria					http://en.wikipedia.org/wiki/Prokaryote				The prokaryotes are a group of organisms that lack a cell nucleus (= karyon), or any other membrane-bound organelles.			Melanie Courtot	James Malone									prokaryote	definition_incomplete
OBI_100030	eukaryote	http://obi.sourceforge.net/ontology/OBI.owl	OBI_100026		http://obi.sourceforge.net/ontology/OBI.owl			fungi	plants	protists	animals		http://en.wikipedia.org/wiki/Eukaryote				An eukaryote is an organism whose cells are organized into complex structures by internal membranes and a cytoskeleton. The most characteristic membrane-bound structure is the nucleus. This feature gives them their name, also spelled "eucaryote," which comes from the Greek ευ, meaning good/true, and κάρυον, meaning nut, referring to the nucleus.			Melanie Courtot										eukaryote	definition_incomplete
OBI_100076	animal	http://obi.sourceforge.net/ontology/OBI.owl	OBI_100030		http://obi.sourceforge.net/ontology/OBI.owl			human					http://www.answers.com/animal?cat=health				A multicellular organism of the kingdom Animalia, differing from plants in certain typical characteristics such as capacity for locomotion, nonphotosynthetic metabolism, pronounced response to stimuli, restricted growth, and fixed bodily structure.	MC: definition not satisfying, it tells more about the difference between plant and animal than what is an animal.		Melanie Courtot	James Malone									animal	definition_incomplete
OBI_1000048	transgenic organism	http://obi.sourceforge.net/ontology/OBI.owl	OBI_100059		http://obi.sourceforge.net/ontology/OBI.owl			HLA-A*0201 transgenic mice, Vaccinia virus expressing the LCMV gp protein					IEDB				is an organism which has been modified to express a gene not normally part of it			Bjoern Peters										transgenic organism	definition_incomplete
OBI_1000207	bead	http://obi.sourceforge.net/ontology/OBI.owl	OBI_100059		http://obi.sourceforge.net/ontology/OBI.owl			Dynabeads are commercially available magnetic beads which are precoated with antibodies specific for select cellular receptors and are used to separate cell populations.					source pending				A globular or round particle of defined physicochemical properties and size which can be exploited as either the primary substance for detection or as a secondary solid platform for the attachment of bioactive molecules.	DS: Probably better modeled as a role.		OBI										bead	definition_incomplete
OBI_1000024	cell pellet		OBI_100059		http://obi.sourceforge.net/ontology/OBI.owl			The product of a centriguation process on a cell culture					CEBS				A cell pellet is an aggegration of cells produced by the application of centrifugal force			Helen Parkinson										cell pellet	definition_incomplete
OBI_100063	clonal cell culture	http://obi.sourceforge.net/ontology/OBI.owl	OBI_100060		http://obi.sourceforge.net/ontology/OBI.owl			cell cut									cell culture in which all cells can be assumed to be identical, tracking back to a single ancestor cell.													clonal cell culture	definition_incomplete
OBI_100036	supernatant	http://obi.sourceforge.net/ontology/OBI.owl	OBI_100079		http://obi.sourceforge.net/ontology/OBI.owl			none					none				Liquid portion of complex biomaterial resulting from a separation from a solid portion	MC: should be a role	added as hierarchy term	Bjoern Peters										supernatant	definition_incomplete
OBI_100051	entity of organismal origin	http://obi.sourceforge.net/ontology/OBI.owl	_biomaterial_deprecated		http://obi.sourceforge.net/ontology/OBI.owl			example_of_usage to be added					OBI				An entity of organismal origin is a biomaterial entity which is obtained from an organism.													entity of organismal origin	definition_incomplete
OBI_100015	cardinal part of organism	http://obi.sourceforge.net/ontology/OBI.owl	_unclassified		http://obi.sourceforge.net/ontology/OBI.owl			Tissue, organ, system, sperm, blood or body location (arm).					MO				An organism_part is a part of organism's anatomy or substance arising from an organism from which the biomaterial was derived, excludes cells. E.g. tissue, organ, system, sperm, blood or body location (arm).			Tina Boussard										cardinal part of organism	definition_incomplete
OBI_100082	_move to relations?	http://obi.sourceforge.net/ontology/OBI.owl	_biomaterial_deprecated		http://obi.sourceforge.net/ontology/OBI.owl			example_of_usage to be added					source pending			this class should eventually be removed	All classes yet to be suitably placed in a hierarchy			James Malone											definition_incomplete
OBI_100033	in vivo biomaterial	http://obi.sourceforge.net/ontology/OBI.owl	OBI_100080		http://obi.sourceforge.net/ontology/OBI.owl			example_of_usage to be added								in vivo biomaterial	definition pending	This is a place holder, indicating that we have trouble dealing with the state / site of biomaterials, i.e. in vivo, ex vivo, in vitro\nTHIS IS NOT A CONCEPT FOR BIOMATERIAL - LIKELY A QUALITY.  JAMES													definition_incomplete
OBI_100043	genetic modification	http://obi.sourceforge.net/ontology/OBI.owl	_biomaterial_deprecated		http://obi.sourceforge.net/ontology/OBI.owl			A deletion					MO_122				The genetic modification introduced into the organism from which the biomaterial was derived. Examples of genetic modification include specification of a transgene or the gene knocked-out or details of transient transfection.	"GENETIC MODIFICATION" TO ME SOUNDS LIKE AN ACTION - NOT SURE HOW WE DEAL WITH THIS ONE.		Philippe Rocca-Serra										genetic modification	definition_incomplete
OBI_1000021	cDNA library	http://obi.sourceforge.net/ontology/OBI.owl	OBI_100081		http://obi.sourceforge.net/ontology/OBI.owl			collection of cDNA derived from mouse splenocytes. PMID:6110205					PSI				Mixed population of cDNAs (complementaryDNA) made from mRNA from a defined source, usually a specific cell type. This term should be associated only to nucleic acid interactors not to their proteins product. For instance in 2h screening use living cells (MI:0349) as sample process.			Luisa Montecchi										cDNA library	definition_incomplete
OBI_100061	primary cell culture	http://obi.sourceforge.net/ontology/OBI.owl	OBI_100060		http://obi.sourceforge.net/ontology/OBI.owl			spleen cells put directly into culture									cells put directly into culture from a tissue source.													primary cell culture	definition_incomplete
OBI_100040	biosource provider	http://obi.sourceforge.net/ontology/OBI.owl	OBI_100079		http://obi.sourceforge.net/ontology/OBI.owl			The Jackson Laboratory is a biosource_provider					MO_230				The resource or individual (e.g. company, hospital, commerical supplier) used to obtain or purchase the biomaterial. 	THIS IS A ROLE.  James		Helen Parkinson										biosource provider	definition_incomplete
OBI_100017	blood serum	http://obi.sourceforge.net/ontology/OBI.owl	_biomaterial_deprecated		http://obi.sourceforge.net/ontology/OBI.owl			Fetal Bovine Serum					http://en.wikipedia.org/wiki/Blood_plasma	Immunobiology by Janeway & Travers 1997			Blood serum is blood plasma without fibrinogen or the other clotting factors.	This is in FMA		Melanie Courtot	Maura Gasparetto									blood serum	definition_incomplete
OBI_100053	cell component	http://obi.sourceforge.net/ontology/OBI.owl	OBI_100051		http://obi.sourceforge.net/ontology/OBI.owl			example_of_usage to be added					FMA				A cell component is an entity of organismal origin which has a definable shape, bounded predominantly by bonafide boundaries.													cell component	definition_incomplete
OBI_100068	monomer	http://obi.sourceforge.net/ontology/OBI.owl	OBI_100022		http://obi.sourceforge.net/ontology/OBI.owl													TEMP FOR NOW FOR STRUCTURE - MAY NEED TO REMOVE THIS.  JAMES		James Malone										monomer	definition_incomplete
OBI_100009	cell	http://obi.sourceforge.net/ontology/OBI.owl	_biomaterial_deprecated		http://obi.sourceforge.net/ontology/OBI.owl			Human lymphocyte					http://en.wikipedia.org/wiki/Cell_%28biology%29	North Carolina Biotechnology Center			A cell is the structural and functional unit of all known living organisms. It is the smallest structural unit of living organisms that is able to grow and reproduce independently.			Melanie Courtot	Compiled by Helen Parkinson for Transcriptomics thanks to Adam Witney									cell	definition_incomplete
OBI_100023	enzyme	http://obi.sourceforge.net/ontology/OBI.owl	OBI_100085		http://obi.sourceforge.net/ontology/OBI.owl			Oxidoreductases	Transferases				http://en.wikipedia.org/wiki/Enzyme				Enzymes are proteins that catalyze (i.e. accelerate) chemical reactions. They work by lowering the activation energy (Ea or ΔG‡) for a reaction, thus dramatically accelerating the rate of the reaction.	MC: should be child of a class protein		Melanie Courtot										enzyme	definition_incomplete
