class	label	URI	parent_class	parent_label	parent_URI	j.0:example_of_usage	j.0:editor_note	j.0:definition_editor	j.0:definition_editor	j.0:definition
journal_article_content	journal article content	http://obi.sourceforge.net/ontology/OBI.owl	report_of_results		http://obi.sourceforge.net/ontology/OBI.owl	Examples of encodings of journal article content are articles published in the journals, Nature and Science. The content can often be cited by reference to a paper based encoding, e.g.  Authors, Title of article, Journal name, date or year of publication, volume and page number.		PERSON:Chris Stoeckert	PERSON:Alan Ruttenberg	Journal article content is a narrative object that is the information content encoded in a article published in a serious, scholarly publication, most often peer-reviewed.
list-mode_data_file	list-mode data file	http://obi.sourceforge.net/ontology/OBI.owl	digital_entity		http://obi.sourceforge.net/ontology/OBI.owl	An example of a list-mode data file is a file following list-mode Flow Cytometry Standard (FCS) format. Since FCS files can be in histogram mode or  list-mode we have to specify which data format specifically. List-mode format in the overwhelming (even universal) option used.	One example of usage is in the context of flow cytometry, however is not restricted to this community and is more widely used, e.g. by imaging people. 	PERSON:Chris Stoeckert		A list-mode data file is a digital entity where events are stored sequentially, parameter by parameter.
binary_digital_entity	binary digital entity	http://obi.sourceforge.net/ontology/OBI.owl	digital_entity		http://obi.sourceforge.net/ontology/OBI.owl	MS Word document, ZIP file, DICOM file, JPEG file	digital_entity	PERSON:Chris Stoeckert		A binary digital entity is a digital entity that is encoded in a way that is not easily human readable and that contains other than text characters.
number_of_particles_in_subset	number of particles in subset	http://obi.sourceforge.net/ontology/OBI.owl	OBI_305		http://obi.sourceforge.net/ontology/OBI.owl	500, 200, 0	quantity	PERSON:Kevin Clancy		A number of particles in subset is a datum measuring the the number of subjects in a defined subset in a flow cytometer instrument. The datum has a qualitative role
software_interpreter	software interpreter	http://obi.sourceforge.net/ontology/OBI.owl				R program, Perl interpreter, Java virtual machine	Do we care? Jennifer: Yes, there was a particular version of R that had a bug and it was fixed later. That would imply that we mean specific version of an interpreter. So an instance of this would be a particular version of the interpreter	PERSON:Chris Stoeckert	PERSON:Alan Ruttenberg	A  software interpreter is a generically dependent realizable entity that takes, as input, some digital entity, and takes action driven by the information content of that digital entity
measurement_unit	measurement unit	http://obi.sourceforge.net/ontology/OBI.owl	information_content_entity		http://obi.sourceforge.net/ontology/OBI.owl	Examples of measurement unit are liters, inches, weight per volume.	agree	PERSON:Cristian Cocos	PERSON:Chris Stoeckert	A measurement unit is an information content entity associated with a physical magnitude that has been conventionally assigned a number.
text_based_digital_entity	text based digital entity	http://obi.sourceforge.net/ontology/OBI.owl	digital_document		http://obi.sourceforge.net/ontology/OBI.owl	XML file, C++ source code file	digital_entity	PERSON:Chris Stoeckert		A text based digital entity is a digital entity that is encoded so that it only contains text characters.
binary_executable	binary executable	http://obi.sourceforge.net/ontology/OBI.owl	digital_entity		http://obi.sourceforge.net/ontology/OBI.owl			PERSON:Jennifer Fostel		Binary executable is a digital entity consisting of the binary representation of machine instructions of a specific processor or they may be binary pseudocode for a virtual machine. A non-source executable file is also called an object program. It is assumed that the binary executable file contains properly-formatted computer instructions.  (derived from Wikipedia, Nov 1, 2007)
quantitative_confidence_value	quantitative confidence value	http://obi.sourceforge.net/ontology/OBI.owl	information_content_entity		http://obi.sourceforge.net/ontology/OBI.owl			PERSON:Chris Stoeckert		A quantitative confidence value is a information content entity which is used to indicate the degree of uncertainty about a measurement. 
analytical_cytology_data_file	analytical cytology data file	http://obi.sourceforge.net/ontology/OBI.owl	digital_entity		http://obi.sourceforge.net/ontology/OBI.owl	FCS file, ACS file, foo.fcs, foo.asc	binary_digital_entity	PERSON:Chris Stoeckert		A digital entity intended to capture data in analytical cytology domain.
data_set	data set	http://obi.sourceforge.net/ontology/OBI.owl	information_content_entity		http://obi.sourceforge.net/ontology/OBI.owl			PERSON:Chris Stoeckert	PERSON:Allyson	A data set is an information content entity that is an aggregate of other information_content_entities that have something in common and are considered to form a unit. definition_source: OBI.
eMedical_record	eMedical record	http://obi.sourceforge.net/ontology/OBI.owl	digital_document		http://obi.sourceforge.net/ontology/OBI.owl			PERSON:Jennifer Fostel		An eMedical record is a digital document derived from a computer system used primarily for patient care in a clinical setting.  Not required to be compliant with requirements of 21 CFR Part 11.
fluorescent_reporter_intensity	fluorescent reporter intensity	http://obi.sourceforge.net/ontology/OBI.owl	OBI_305		http://obi.sourceforge.net/ontology/OBI.owl		From the DT branch: This term and definition were originally submitted by the community to our branch, but we thought they best fit DENRIE. However we see several issues with this. First of all the name 'probe' might not be used in OBI. Instead we have a 'reporter' role. Also, albeit the term 'probe intensity' is often used in communities such as the microarray one, the name 'probe' is ambiguous (some use it to refer to what's on the array, some use it to refer to what's hybed to the array). Furthermore, this concept could possibly be encompassed by combining different OBI terms, such as the roles of analyte, detector and reporter (you need something hybed to a probe on the array to get an intensity) and maybe a more general term for 'measuring intensities'. We need to find the right balance between what is consistent with OBI and combinations of its terms and what is user-friendly. Finally, note that 'intensity' is already in the OBI .owl file and is also in PATO. Why didn't OBI import it from PATO? This might be a problem.	PERSON:Chris Stoeckert		The fluorescent reproter intensity is a datum that represents the output of a scanner measuring the intensity value for each fluorescent reporter.
electronic_case_report_tabulation	electronic case report tabulation	http://obi.sourceforge.net/ontology/OBI.owl	digital_document		http://obi.sourceforge.net/ontology/OBI.owl			PERSON:Jennifer Fostel		An electronic case report tabulation is a digital document containing tabular data about multiple trial participants which is part of a clinical regulatory submission.  An eCRT has the property that it can be audited and compliant with requirements of 21 CFR Part 11  and has format suited to review by regulators.
report_table	report table	http://obi.sourceforge.net/ontology/OBI.owl	report_display_element		http://obi.sourceforge.net/ontology/OBI.owl			PERSON:Allyson Lister	PERSON:Alan Ruttenberg	A report table is a report display element consisting of a matrix of cells layed out in a grid, some set of which are filled with some information content
fluorescence_compensation_matrix	fluorescence compensation matrix	http://obi.sourceforge.net/ontology/OBI.owl	information_content_entity		http://obi.sourceforge.net/ontology/OBI.owl	((1.053096, -0.22476), (-0.24877, 1.053096))	generically_dependent_continuants	PERSON:Chris Stoeckert		A fluorescence compensation matrix is a square matrix which is used as the left multiplier of the vector of fluorescence values while performing digital fluorescence compensation. Also, fluorescence compensation matrix is the inverse of the fluorescence spillover matrix.
cluster	cluster	http://obi.sourceforge.net/ontology/OBI.owl	data_set		http://obi.sourceforge.net/ontology/OBI.owl	Cluster of the lymphocytes population.	generically_dependent_continuants	PERSON:Chris Stoeckert	PERSON:Allyson	A data cluster is a data set which is a subset of data that are a similar to each other in some way.
standard_error	standard error	http://obi.sourceforge.net/ontology/OBI.owl	quantitative_confidence_value		http://obi.sourceforge.net/ontology/OBI.owl		see P-Value	PERSON:Chris Stoeckert		Standard error is a quantitative confidence value which is the standard deviations of the sample in a frequency distribution, obtained by dividing the standard deviation by the total number of cases in the frequency distribution.
report_of_results	report of results	http://obi.sourceforge.net/ontology/OBI.owl	narrative_object		http://obi.sourceforge.net/ontology/OBI.owl	Examples of reports are gene lists and investigation reports. These are not published (journal) articles but may be included in a journal article.	disagreement about where reports go. alan: only some gene lists are reports. Is a report all the content of some document? The example of usage suggests that a report may be part of  some article. Term needs clarification	PERSON:Chris Stoeckert		A report is a narrative object that is a formal statement of the results of an investigation, or of any matter on which definite information is required, made by some person or body instructed or required to do so.
contour_plot	contour plot	http://obi.sourceforge.net/ontology/OBI.owl	report_graph		http://obi.sourceforge.net/ontology/OBI.owl	Contour plot of SSC-H, FSC-H, and FL1-H.	generically_dependent_continuants	PERSON:Chris Stoeckert	PERSON:Allyson	A contour plot is a report graph which is a graphical representation of a 3-dimensional surface by plotting constant z slices, called contours, on a 2-dimensional format. That is, given a value for z, lines are drawn for connecting the (x,y) coordinates where that z value occurs.
digital_entity	digital entity	http://obi.sourceforge.net/ontology/OBI.owl	non-realizable_information_entity		http://obi.sourceforge.net/ontology/OBI.owl			PERSON:Chris Stoeckert		A digital entity is an information entity which is a collection of bits that can be interpreted by a computer. Two digital entities are the same if they are bitwise identical.
report_graph	report graph	http://obi.sourceforge.net/ontology/OBI.owl	report_figure		http://obi.sourceforge.net/ontology/OBI.owl			PERSON:Allyson Lister	PERSON:Alan Ruttenberg	A report graph is a report figure that presents one or more tuples of information my mapping those tuples in to a two dimensional space in a non arbitrary way.
investigation_results_report	investigation results report	http://obi.sourceforge.net/ontology/OBI.owl	report_of_results		http://obi.sourceforge.net/ontology/OBI.owl		There's probably a role that it plays. Would this be considered an outcome? (alan)	PERSON:Chris Stoeckert		An investigation report is a report on the results of an investigation.
number_of_lost_events_computer	number of lost events computer	http://obi.sourceforge.net/ontology/OBI.owl	OBI_305		http://obi.sourceforge.net/ontology/OBI.owl	0, 125, 787 events lost due to computer busy.	quantity	PERSON:Kevin Clancy		A number of lost events is a datum recording the the number of measurement events lost due to overloading of the analysis chip in a flow cytometer insturment. The datum has a qualitative role
gene_list	gene list	http://obi.sourceforge.net/ontology/OBI.owl	data_set		http://obi.sourceforge.net/ontology/OBI.owl	Gene lists may arise from analysis to determine differentially expressed genes, may be collected from the literature for involvement in a particular process or pathway (e.g., inflammation), or may be the input for gene set enrichment analysis.	kind of report. (alan) need to be careful to distinguish from output of a data transformation or calculation. A gene list is a report when it is published as such? Relates to question of whether report is a whole, or whether it can be a part of some other narrative object.	PERSON:Chris Stoeckert		A gene list is a report of the names or identifiers of genes that are the outcome of an analysis or have been put together for the purpose of an analysis.
source_code_module	source code module	http://obi.sourceforge.net/ontology/OBI.owl	information_content_entity		http://obi.sourceforge.net/ontology/OBI.owl	The written source code that implements part of an algorithm. Test - if you know that it was written in a specific language, then it can be source code module. We mean here, roughly, the wording of a document such as a perl script.		PERSON:Chris Stoeckert	PERSON:Alan Ruttenberg	A source code module is an information content entity that specifies, using a programming language, some algorithm. 
number_of_lost_events_electronic	number of lost events electronic	http://obi.sourceforge.net/ontology/OBI.owl	OBI_305		http://obi.sourceforge.net/ontology/OBI.owl	74, 0, 14 events lost due to data acquisition electronic coincidence.	quantity	PERSON:Kevin Clancy		A number of lost events electronic is a datum measuring the the number of analysis events lost due to errors in data acquisition electronic coincidence in a flow cytometer insturment. The datum has a qualitative role.
ratio_of_collected_to_emitted_light_	ratio of collected to emitted light 	http://obi.sourceforge.net/ontology/OBI.owl	OBI_305		http://obi.sourceforge.net/ontology/OBI.owl	10%	quantity	PERSON:Kevin Clancy	PERSON:Chris Stoeckert	A ratio of collected to emitted light is a datum measuring the amount of light collected s compared to the total amount of emitted light in the detector component of a flow cytometer instrument. The datum has a qualitative role
parameter_threshold	parameter threshold	http://obi.sourceforge.net/ontology/OBI.owl	OBI_305		http://obi.sourceforge.net/ontology/OBI.owl	0.01, 0.03	quantity	PERSON:Kevin Clancy		A parameter threshold is a datum measuring the minimal signal that must be detected to generate an electrical event, as comparewd to the maximal detected signal in a flow cytometer insturment. The datum has a qualitative role
