class	label	URI	parent_class	parent_label	parent_URI	alternative_term	alternative_term	alternative_term	alternative_term	owl:equivalentClass	example_of_usage	definition_citation	definition_citation	alternative_term_tag	rdfs:comment	definition	editor_note	editor_note	editor_note	definition_editor	definition_editor	definition_editor	preferred_term	curation_status	curation_status
OBI_400032	differential_pressure_gauge	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400004		http://obi.sourceforge.net/ontology/OBI.owl						LSR2 differential pressure gauge	Practical Flow Cytometry 4th Edition, Howard Shapiro, ISBN-10: 0471411256, ISBN-13: 978-0471411253				Part of the fluidics subsystem. The differential pressure gauge monitors the difference between sample and sheath fluid pressures in systems where pressure is used to force the sample fluid to flow in the center of the sheath fluid. A differential pressure gauge can be used by the operator to make sure that the sample fluid is at a greater pressure than the sheath fluid, which maintains a core of sample fluid.				John Quinn			differential_pressure_gauge	definition_incomplete	graph_position_temporary
OBI_400116	thermal_cycler	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400003		http://obi.sourceforge.net/ontology/OBI.owl	Polymerase_Chain_Reaction_ machine	PCR_machine	thermocycler	DNA_amplifier		Piko™ 96-well Thermal Cycler	MO				An instrument that is capable of repeatedly altering and maintaining specific temperatures for defined periods of time.				Trish Whetzel	Melanie Courtot		thermal_cycler	curation_complete	
OBI_400005	A10-Analyzer	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400008		http://obi.sourceforge.net/ontology/OBI.owl							http://www.apogeeflow.com/flow_cytometry_products.htm				A A10 is a flow_cytometer_analyser manufactured by Apogee. It uses an arc lamp as a light source, with choices of 75W Xe, 75W Xe/Hg or 100W Hg arc lamps. It has filters and collectors for up to three fluorescent parameters and two scatter parameters. It uses analog electronics. The A10 can be used for measuring the properties of individual cells.				John Quinn			A10-Analyzer	curation_complete	
OBI_400082	photodetector	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400003		http://obi.sourceforge.net/ontology/OBI.owl						A photomultiplier tube, a photo diode	http://einstein.stanford.edu/content/glossary/glossary.html				Part of the electronic subsytem. A device used to detect and measure the intensity of radiant energy through photoelectric action. In a cytometer, photodetectors measure either the number of photons of laser light scattered on inpact with a cell (for example), or the flourescence emmited by excitation of a lourescent dye.				John Quinn			photodetector	graph_position_temporary	definition_incomplete
OBI_400087	preamplifier	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400101		http://obi.sourceforge.net/ontology/OBI.owl						Built in preamplifier in a Hamamatsu H9656 PMT	Practical Flow Cytometry 4th Edition, Howard Shapiro, ISBN-10: 0471411256, ISBN-13: 978-0471411253				A preamplifier is part of the electronics subsystem. It converts the current output from its associated detecor to a voltage. The preamplifier is the first stage in alalog electronics signal processing.				John Quinn			preamplifier	graph_position_temporary	definition_incomplete
OBI_400114	sonicator	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400003		http://obi.sourceforge.net/ontology/OBI.owl						Sonicator 3000	MO				An instrument that converts a variable electrical current to mechanical vibration of a metalic probe. The instrument is used for the lysis of cells, the mixing of compounds or solutions, or to create emulsions.				Trish Whetzel			sonicator	curation_complete	
OBI_400097	Somacount	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400008		http://obi.sourceforge.net/ontology/OBI.owl							http://www.bentleyinstruments.com/somacount.html#Anchor-Bentley-49575				A Somacount is a flow_cytometer_analyser manufactured by Bently Instruments. It is a specialized tool for counting somatic cells in milk by specifically staining them with Ethidium Bromide and counting the cells that flouresce. It has one laser, and the filters and a PMT for the single parameter. There are three sizes availalbe, the 150, 300, and 500 with the number indicating the maximum number of cells tthat can be analysed per hour. The Somacount is an example of a very specific use cytometer; it exclusively counts somatic cells in milk.				John Quinn			Somacount	curation_complete	
OBI_400106	centrifuge	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400003		http://obi.sourceforge.net/ontology/OBI.owl						Eppendorf Multipurpose Centrifuge	http://en.wikipedia.org/wiki/Centrifuge				A centrifuge is an instrument, generally driven by a motor, that puts an object in rotation around a fixed axis, applying force perpendicular to the axis. The centrifuge works using the sedimentation principle, where the centripetal acceleration is used to separate substances of greater and lesser density.				Melanie Courtot	Trish Whetzel		centrifuge	curation_complete	
OBI_49	mass_spectrometer	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400003		http://obi.sourceforge.net/ontology/OBI.owl						LCQ Fleet Ion Trap MSn manufactured by thermo fisher scientific	http://en.wikipedia.org/wiki/Mass_spectrometry				A mass spectrometer is an instrument which is used to measure the mass to charge ratio of ions. All mass spectrometers consist of three basic parts: an ion source, a mass analyzer, and a detector system. The stages within the mass spectrometer are: 1. Production of ions from the sample 2. Separation of ions with different masses 3. Detection of the number of ions of each mass produced 4.Collection of data to generate the mass spectrum				Frank Gibson			mass_spectrometer		
OBI_48	liquid_chromatography_instrument	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400003		http://obi.sourceforge.net/ontology/OBI.owl						example_of_usage to be added	OBI				A liquid chromatography instrument is an instrument that collects data from the separation of colecules in liquid..				OBI Instrument branch			liquid_chromatography_instrument		
OBI_400020	collection_tube	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400004		http://obi.sourceforge.net/ontology/OBI.owl						LSR2 collection tube	Practical Flow Cytometry 4th Edition, Howard Shapiro, ISBN-10: 0471411256, ISBN-13: 978-0471411253				Part of the fluidics subsystem. The collection tube is a vessel for capturing cells of interest that have been identified by a sorter. The collection tube is the end location of sorted cells.	DS: a collection tube is no instrument. This is yet another example of distorted is_a and part_of hierarchy...\npart_of fluidic_subsystem			John Quinn			collection_tube	definition_incomplete	graph_position_temporary
OBI_400084	photomultiplier_tube	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400082		http://obi.sourceforge.net/ontology/OBI.owl						R9647 by manufactured by Hamamatsu	http://cyto.mednet.ucla.edu/Protocols/flow.htm				A photodetector, normally in the form of a tube, that uses a photocathode to convert photons into photoelectrons which are then amplified. PMTs are typically used to detect SSC and flourescent parameters. Cytometers have a PMT for each color they can collect.				John Quinn			photomultiplier_tube	graph_position_temporary	definition_incomplete
OBI_400110	hybridization_chamber	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400003		http://obi.sourceforge.net/ontology/OBI.owl						Glass Array Hybridization Cassette	MO				A container which is used to maintain constant contact of a liquid on an array.  This can be either a glass vial or slide.	MC: should be chamber with role hybridization?			Trish Whetzel			hybridization_chamber	raw_import	
OBI_400115	spectrophotometer	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400003		http://obi.sourceforge.net/ontology/OBI.owl						Helios Gamma Spectrophotometer	MO				A spectrophotometer is an instrument that measures the intensity of light as a function of the color, or more specifically, the wavelength of light, transmitted by a substance.				Trish Whetzel	Melanie Courtot		spectrophotometer	curation_complete	
OBI_400037	FACS_Canto	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400008		http://obi.sourceforge.net/ontology/OBI.owl							http://www.bdbiosciences.com/pdfs/brochures/23-8742-00.pdf				A FACS_Canto is a flow_cytometer_analyser manufactured by Becton Dickinson. It features digital electronics, a solid state 488 nm, and a HeNe 633 nm lasers, and filters and PMTs for collecting up to 6 flourescent parameters. The FACS_Canto is an analyser usually used in clinical applications.				John Quinn			FACS_Canto	curation_complete	
OBI_400081	particle_delivery_vessel	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400004		http://obi.sourceforge.net/ontology/OBI.owl						FC 500 particle delivery vessel	Practical Flow Cytometry 4th Edition, Howard Shapiro, ISBN-10: 0471411256, ISBN-13: 978-0471411253				Part of the fluidics subsystem. A particle delivery vessel is used to introcue either a single sample or multiple samples to a flow cytometer. The most common particle delivery vessel is a sample tube.				John Quinn			particle_delivery_vessel	graph_position_temporary	definition_incomplete
OBI_400062	krypton_ion_laser	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400060		http://obi.sourceforge.net/ontology/OBI.owl						Lexel 95L krypton laser	John Quinn				A krypton-ion laser is an ion laser that uses krypton as the lasing medium. These lasers can emit at 468, 476, 482, 520, 531, 568, 647 (the most powerfull line), and 676 nm all at once. They have much lower gain than argon lasers however.				Daniel Schober			krypton_ion_laser	graph_position_temporary	
OBI_400063	LactoScope_C4	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400115		http://obi.sourceforge.net/ontology/OBI.owl						LactoScope C4 Automatic Economical	http://www.aicompanies.com/DeltaCD/lacto_ftir_auto.htm				A LactoScope_C4 is a spectrophotometer with which the composition of milk and milk products is analysed via infrared technology. The LactoScope determines the amount of the constituents fat, protein, lactose and the total solids content with extreme accuracy.				Melanie Courtot	Josef Spidlen		LactoScope_C4	curation_complete	
OBI_400086	plate_loader	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400004		http://obi.sourceforge.net/ontology/OBI.owl						FC 500 plate loader	http://www.beckmancoulter.com/literature/Bioresearch/P-10202A.pdf				Part of the fluidics system. A plate loader positions the wells of a multi-well plate under the aspiration tube is a preset order. A plate loader is used for high throughput applications.				John Quinn			plate_loader	graph_position_temporary	definition_incomplete
OBI_400050	Guava_Personal_Cell_Analysis	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400008		http://obi.sourceforge.net/ontology/OBI.owl	Guava_PCA						http://www.guavatechnologies.com/main/products/PCA-new.cfm				A  Guava_Personal_Cell_Analysis System is a flow_cytometer_analyser that includes a single 532 nm laser, and filters and PMTs to collect up to 2 fluorescent parameters. It includes a photodiode forward scatter collector. Guava cytometers use aspiration instead of fluid systems to transport cells within the machine. The PCA96 uses only tubes to introduce specimen. The Guava PCA cytometer is a small portable cytometer particularly useful for field measurement.				John Quinn			Guava_Personal_Cell_Analysis	curation_complete	
OBI_38	chromatography_column	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400004		http://obi.sourceforge.net/ontology/OBI.owl						example_of_usage to be added	http://en.wikipedia.org/wiki/Column_chromatography				Column chromatography in chemistry is a tube (typically glass) used to purify individual chemical compounds from mixtures of compounds. It is often used for preparative applications on scales from micrograms up to kilograms.				Frank Gibson			chromatography_column	definition_incomplete	
OBI_400121	molecular_crosslinker	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400003		http://obi.sourceforge.net/ontology/OBI.owl	crosslinking_instrument					Stratalinker	MO		MO		An instrument that is able to chemically join two or more molecules.	AL: if we intend that other ontologies can be used in conjunction with OBI, we shouldn't have such a general term used specifically for chemically joining two or more molecules. I'm sure there are other "crosslinkers" that are on a much different scale in engineering etc. I have moved the original label to be an alternative term, and have renamed the main label accordingly.			Trish Whetzel			molecular_crosslinker	A molecular crosslinker is an instrument that is able to chemically join two or more molecules.	
OBI_400054	ImageStream	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400146		http://obi.sourceforge.net/ontology/OBI.owl							http://www.amnis.com/				The ImageStream is a multispectral_imaging_flow_cytometer manufactured by Amnis. Its has digital electronics, a single standard 488 nm solid state laser. In addition an optional 658 nm and your choice of either a 405 nm or 375 nm solid state laser can be added. Information is collected using cameras. The ImageStream system CCD camera produces six images of each cell, including darkfield, brightfield, and up to four fluorescent colors. Each image is used to calculate over 40 features, so a six-image assay results in ~250 morphometric and photometric features per cell. The ImageStream is a flow cytometer that takes pictures of the cells in flow.\nIt has both components, an Image cytometer and a flow cytometer.	It has both components, an Image cytometer and a flow cytometer.			Melanie Courtot	John Quinn		ImageStream	curation_complete	
OBI_400143	fluorometer	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400003		http://obi.sourceforge.net/ontology/OBI.owl						laser/detector in capillary electrophoresis apparatus, NanoDrop ND-3300	OBI				A fluorometer is an instrument for the detection and measurement of parameters of fluoresence, which in turn are used to identify the presence and amount of specific molecules in the sample.	AL: Original definition_editor was Kevin Clancy, and then I (Allyson Lister) added to it. I changed the editor to OBI, but am not sure if I should have put both our names in.			Kevin Lister	Allyson Lister		fluorometer	curation_complete	
OBI_400088	quartz_cuvette_flow_chamber	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400043		http://obi.sourceforge.net/ontology/OBI.owl						CVF-Q-10 flow chamber, CV-Q-10 flow chamber	http://www.flocyte.com/FRTP/Resources/flow_cytometry_glossary.htm				A flow cell in which the laser irradiates the cell as it passes through a quartz cuvette. A quartz cuvette flow chamber can be used to allow the laser to irradiate cells.				John Quinn			quartz_cuvette_flow_chamber	definition_incomplete	graph_position_temporary
OBI_400034	dye_laser	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400064		http://obi.sourceforge.net/ontology/OBI.owl						Rhodamine 101 dye laser used to irradiate cells in a flow cytometer.	Practical Flow Cytometry 4th Edition, Howard Shapiro, ISBN-10: 0471411256, ISBN-13: 978-0471411253	John Quinn			A dye laser is a laser in which the lasing medium is a flourescent dye, usually disolved in an organic solvent such as ethanol or ethylene glycol. The particular dye used determines the wavelengths the laser can emit. The laser medium is places between two parallel mirrors for light emmission amplification.				Daniel Schober			dye_laser	graph_position_temporary	
OBI_400140	electrophoresis_box	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400004		http://obi.sourceforge.net/ontology/OBI.owl						CHEF gel box, slab gel box, capillary electrophoresis	Kevin Clancy				a specifically configured apparatus used in protocol applications to seperate charged molecules in an electric field across a porous matrix or medium.	The definition applies more to the full electrophoresis instrument. FG: this should be aligned with the definitions contained within sepCV			OBI Instrument branch			electrophoresis_box	definition_incomplete	
OBI_400015	BioSorter2000	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400099		http://obi.sourceforge.net/ontology/OBI.owl						BioSorter 2000 at TSRI Flow Cytometry Core Facility	http://www.unionbio.com/products/BioSorter.html				A BioSorter2000 is a sorter manufactured by Union Biometrica. It includes analog electronics, 488/514 nm multi-line Argon-ion laser for fluorescence and a light stabilized 670 nm forward scatter laser for extinction and time-of-flight. It has filters and PMTs for 3 fluorescent parameters and photodiodes for scatter, time of flight, and extinction. The flow cell is quartz cuvette. The BioSorterTM 2000 is an instrument for analyzing and sorting objects from 500 microns to 1.5 millimeters in diameter.				John Quinn			BioSorter2000	curation_complete	
OBI_400013	band_pass_filter	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400079		http://obi.sourceforge.net/ontology/OBI.owl						530/30 BP filter, 585/42 BP filter	http://en.wikipedia.org/wiki/Band_pass_filter				A band pass filter is an optical filter that passes wavelengths of light within a certain range and rejects (attenuates) frequencies outside that range. The passed wavelengths are indicated in the specifications of the filter and its name. A 480/20 bandpass filter pass light with at wavelengths of 460 to 500 nm and attenuates all others.				John Quinn			band_pass_filter	graph_position_temporary	
OBI_400075	MoFlo	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400099		http://obi.sourceforge.net/ontology/OBI.owl						MoFlo at TSRI Flow Cytometry Core Facility	http://www.dakousa.com/index/prod_search/prod_groups.htm?productareaid=16				A MoFlo is a flow_cytometer_sorter manufactured by Dako Cytomation. It features digital electronics, the option to include several lasers (solid state 488 nm, 635 nm, and a 351 nm diode laser), and has the filtering and colelction capacity for up to 10 flouresecent parameters. The MoFlo is an instrument that can be used to both analyze quantitatively and collect cells in a flowing medium.				John Quinn			MoFlo	curation_complete	
OBI_400108	heating_block	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400003		http://obi.sourceforge.net/ontology/OBI.owl						An instrument used to heat and/or maintain material at a set temperature.	MO				A heating block is an instrument or part of an instrument which raises or maintains the temperature of a sample to a defined constant temperature during certain parts of an assay				Daniel Schober			heating_block	curation_complete	
OBI_400023	CYFlow_ML	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400008		http://obi.sourceforge.net/ontology/OBI.owl							http://www.partec.de/products/cyflow-ml.html				A CyFlow_ML is a flow_cytometer_analyser manufactured by Partec. It is a digital machine which uses 4 light sources: triple laser configurations including new powerful 200mW@488nm blue solid state laser + 100W UV lamp for highest resolution DNA analysis, and can collect 16 optical parameters: FSC1, FSC2, SSC, FL1-FL13. Ultracompact high end desktop multilaser Flow Cytometer for all applications in cell analysis and absolute counting.				John Quinn			CYFlow_ML	curation_complete	
OBI_400112	liquid_handler	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400003		http://obi.sourceforge.net/ontology/OBI.owl	liquid_handling_instrument					Beckman BioMek 2000	MO				A liquid_handler is an instrument used for automated liquid transfer and handling.	DS: Is this class justified? Its a unnamed class. If so, put a fluidic_system and the fluidic_subsystem as subclasses.\nTW: This is required by MO.\nFG: Or as function.			DS: Is this class justified? Its a unnamed class. If so, put a fluidic_system and the fluidic_subsystem as subclasses.\nTW: This is required by MO.\nFG & DS: Capture as function.\nAll: Needs to be reviewed, according to query use case. If we keep it its kept as unnamed owl class.\nThe liquid handling class remains but as an undefined class with are unlikely to have children. It is expected that the reasoner would classifiy appropriate classes under this class that meet the have the liquid_handling function relation.			liquid_handler	raw import	
OBI_400026	CyFlow_Space	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400099		http://obi.sourceforge.net/ontology/OBI.owl						CyFlow Space at TSRI Flow Cytometry Core Facility	http://www.partec.de/products/cyflowspace.html				A CyFlow_Space is a flow_cytometer_sorter manufactured by Partec. Its specs are: 8optical parameters, 6 colours:FSC, SSC, FL1-FL6 , 3laser light sources: 200mW@488nm blue solid state laser 25mW@635nm red diode laser 50mW@405nm violet or 8mW@375nm ultraviolet diode laser _ultracompact desktop high end instrument. Parallel 16bit digital pulse processing. The CyFlow Space is a 6-Colour FCM System and Cell Sorter for Clinical Routine and Research.				John Quinn			CyFlow_Space	curation_complete	
OBI_400137	cytometer	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400003		http://obi.sourceforge.net/ontology/OBI.owl							http://medical.merriam-webster.com/medical/cytometer				A cytometer is an instrument for counting and measuring cells.				Melanie Courtot			cytometer	curation_complete	
OBI_400016	BioSorter250	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400099		http://obi.sourceforge.net/ontology/OBI.owl						BioSorter 250 at TSRI Flow Cytometry Core Facility	http://www.unionbio.com/products/BioSorter.html				A BioSorter250 is a flow_cytometer_sorter manufactured by Union Biometrica. It includes analog electronics, 488/514 nm multi-line Argon-ion laser for fluorescence and a light stabilized 670 nm forward scatter laser for extinction and time-of-flight. It has filters and PMTs for 3 flourescent parameters and photodiodes for scatter, time of flight, and extinction. The flow cell is quartz cuvette. The BioSorterTM 250 is an instrument for analyzing and sorting objects from 40-200 microns in diameter.				John Quinn			BioSorter250	curation_complete	
OBI_400120	heated_bath	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400004		http://obi.sourceforge.net/ontology/OBI.owl						VWR Signature Deep-Chamber Heated Water Bath. A water bath is used for temperatures up to 100 °C. An oil bath is employed for temperatures over 100 °C.	http://en.wikipedia.org/wiki/Heated_bath				A heated_bath is a labware in which a fluid is placed in an open (metal) pot and is heated to allow a chemical reaction to occur at an elevated temperature.	DS: Is a waterbath labware or an instrument?			Melanie Courtot	Trish Wetzel		heated_bath	curation_complete	
OBI_400039	FACS_Scan	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400008		http://obi.sourceforge.net/ontology/OBI.owl							http://www.brc.ubc.ca/brc/facs.html				A FACS_Scan is a flow_cytometer_analyser manufactured by Becton Dickinson. IT features analog electronics, one 488 nm solid state laser, and the filters and PMTs to collect up to three flourescent parameters The FACS_Scan is usually used for research applications.				John Quinn			FACS_Scan	curation_complete	
OBI_400069	Luminex_100	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400008		http://obi.sourceforge.net/ontology/OBI.owl							http://www.luminexcorp.com/products/luminex_100IS.html				The Luminex 100 is a flow_cytometer_analyser manufactured by Luminex. It is a single laser system (575 nm) with avalanche photodiodes in red and infrared and a single PMT for fluorescnce. The flow chamber is a square quartz cuvette.				John Quinn			Luminex_100	curation_complete	
OBI_10000003	incubator	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400003		http://obi.sourceforge.net/ontology/OBI.owl						Incubators are used in microbiology for culturing (growing) bacteria and other microorganisms. Incubators in tissue culture rooms are used for culturing stem cells, lymphocytes, skin fibroblasts and other types of cells	http://www.medterms.com/script/main/art.asp?articlekey=18426				An incubator is an instrument in which environmental conditions (light, photoperiod, temperature, humidity, etc.) can be controlled				Frank Gibson			incubator		
OBI_400045	fluid_pressure_regulator	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400004		http://obi.sourceforge.net/ontology/OBI.owl						LSR2 fluid pressure regulator	Practical Flow Cytometry 4th Edition, Howard Shapiro, ISBN-10: 0471411256, ISBN-13: 978-0471411253				Part of the fluidic subsystem. The fluid pressure regulator maintains constant pressure within the sheath and or sample lines by filling the lines with enough gas to push the fluid at the desired rate. The gas is usually air, and less freqeuntly nitorgen. In the sheath line, the gas is pushed into the sheath tank. In the sample line the gas is pushed into the collection tube. Fluid pressure regulators maintain great enough pressure to push sample fluid out of the tube and sheath fluid out of the sheath tank.				John Quinn			fluid_pressure_regulator	definition_incomplete	graph_position_temporary
OBI_400117	vacuum_dryer	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400003		http://obi.sourceforge.net/ontology/OBI.owl						Model 777 Microarray Oven	MO				An instrument which removes liquid by the application of negative pressure,  i.e. vacuum.				Trish Whetzel			vacuum_dryer	curation_complete	
OBI_400027	CytoBuoy	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400008		http://obi.sourceforge.net/ontology/OBI.owl						CytoBuoy can be used to conduct extended and/or high frequency time series of phytoplankton distribution and abundance on fixed locations	http://www.cytobuoy.com/				A CytoBuoy is a flow_cytometer_analyser manufactured by Cyto Buoy Inc. They are the buoy mounted version of the CytoSense, equipped with wireless transmission of control and data files.They are a single laser, multi parameter instrument. Various types of micro-laser are offered; available measuring parameters are forward light scatter, side scatter, and fluorescence (max. 9 colour bands). The current series have 5 parameters.				John Quinn, Melanie Courtot			CytoBuoy	curation_complete	
OBI_400066	logarithmic_voltage_amplifier	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400101		http://obi.sourceforge.net/ontology/OBI.owl						HLVA-100 logarithmic voltage amplifier developed by FEMTO Messtechnik, GmbH	Practical Flow Cytometry 4th Edition, Howard Shapiro, ISBN-10: 0471411256, ISBN-13: 978-0471411253				A logarithmic voltage amplifier is an analog electronic circuit that puts out a voltage or current proportioal o the voltage or current at its input, with logarithmic proportionality. In an analog system, the logarithmic voltage amplifier is used to present parameters with a high dynamic range on a more useful scale.				John Quinn			logarithmic_voltage_amplifier	definition_incomplete	graph_position_temporary
