class	label	URI	parent_class	parent_label	parent_URI	OBI_0000283	OBI_0000291	OBI_0000291	OBI_0000279	OBI_0000279	OBI_0000279	OBI_0000279	OBI_0000279	OBI_0000279	OBI_0000275	OBI_0000275	OBI_0000275	OBI_0000287	OBI_0000287	OBI_0000287	OBI_0000287	OBI_0000288	rdfs:comment	OBI_0000281	OBI_0000284	OBI_0000277	OBI_0000274	OBI_0000274	OBI_0000274	OBI_0000274	OBI_0000274	OBI_0000274	OBI_0000274	OBI_0000274	OBI_0000274	OBI_0000274	OBI_0000285	OBI_0000286	OBI_0000286	OBI_0000286	OBI_0000286
OBI_0400014	BioSorter1000	http://purl.obofoundry.org/obo/OBI_0400014	OBI_0400099		http://purl.obofoundry.org/obo/OBI_0400099		A BioSorter1000 is a flow_cytometer_sorter manufactured by Union Biometrica. It includes analog electronics, 488/514 nm multi-line Argon-ion laser for fluorescence and a light stabilized 670 nm forward scatter laser for extinction and time-of-flight. It has filters and PMTs for 3 fluorescent parameters and photodiodes for scatter, time of flight, and extinction. The flow cell is quartz cuvette. The BioSorterTM 1000 is an instrument for analyzing and sorting objects from 200-600 microns in diameter.		http://www.unionbio.com/products/BioSorter.html									BioSorter 1000 at TSRI Flow Cytometry Core Facility				BioSorter1000					John Quinn														
OBI_0400004	labware	http://purl.obofoundry.org/obo/OBI_0400004	ObsoleteClass		http://www.geneontology.org/formats/oboInOwl#ObsoleteClass		Labware is a device that has low overall complexity and usually facilitates less process steps than other devices. Its low complexity is signified through the fact that it is often regarded as passive (not active). Labware needs a proactive agent (human or computer) to facilitate a process (its intended use).		OBI									An example of labware are test tubes, petri dishes, glass beakers.				labware	The class labware is here as a place holder class to accout for entities such as test tubes, beakers, centrifuge tubes etc. It is expected as we identify subclasses we will be in a better position to identify the hierarchy, the definition and possibly the label for this class.				Daniel Schober														
OBI_0400050	Guava_Personal_Cell_Analysis	http://purl.obofoundry.org/obo/OBI_0400050	OBI_0400008		http://purl.obofoundry.org/obo/OBI_0400008		A  Guava_Personal_Cell_Analysis System is a flow_cytometer_analyser that includes a single 532 nm laser, and filters and PMTs to collect up to 2 fluorescent parameters. It includes a photodiode forward scatter collector. Guava cytometers use aspiration instead of fluid systems to transport cells within the machine. The PCA96 uses only tubes to introduce specimen. The Guava PCA cytometer is a small portable cytometer particularly useful for field measurement.		http://www.guavatechnologies.com/main/products/PCA-new.cfm													Guava_Personal_Cell_Analysis					John Quinn											Guava_PCA			
OBI_0600067	specific labeling	http://purl.obofoundry.org/obo/OBI_0600067	OBI_0600038		http://purl.obofoundry.org/obo/OBI_0600038		a labeling in which the labeling reagent used  has a specificity to bind only certain components of the input material		OBI branch derived						definition blessed by Allyson, Bjoern, Jay & Randi			The addition of anti-CD8 antibody for an ICCS assay in order to selectively stain the CD8+ cells				specific labeling					PlanAndPlannedProcess Branch														
OBI_0100085	protein	http://purl.obofoundry.org/obo/OBI_0100085	OBI_0100069		http://purl.obofoundry.org/obo/OBI_0100069		Naturally occurring polypeptides synthesized at the ribosome.(CHEBI)\nProteins are large organic compounds made of amino acids arranged in a linear chain and joined together by peptide bonds between the carboxyl and amino groups of adjacent amino acid residues.		TERM: CHEBI:16541	WEB: http://en.wikipedia.org/wiki/Protein					TEMP FOR NOW FOR STRUCTURE - MAY NEED TO REMOVE THIS.  JAMES\nHAS MADE_UP_OF RELATION WITH POLYPEPTIDE CONCEPT.  JAMES			hemoglobin				protein					Melanie Courtot	Susanna Sansone	James Malone	Philippe Rocca-Serra											
OBI_0200067	_unclassified	http://purl.obofoundry.org/obo/OBI_0200067	OBI_0200000		http://purl.obofoundry.org/obo/OBI_0200000		All classes yet to be suitably placed in a hierarchy		editor													_unclassified	this class should be removed				James Malone														
OBI_0302711	_move to information_content_entity	http://purl.obofoundry.org/obo/OBI_0302711	ObsoleteClass		http://www.geneontology.org/formats/oboInOwl#ObsoleteClass																																				
OBI_0200043	average linkage	http://purl.obofoundry.org/obo/OBI_0200043	OBI_0200042		http://purl.obofoundry.org/obo/OBI_0200042		Average Linkage is a hierarchical clustering method in which the distance between clusters is calculated as the average distance from the members of one cluster to the members of another cluster. The output of this method is a hierarchical mapping of data points to clusters with an associated distance metric.		editor													average linkage					James Malone														
OBI_0200121	standard deviation calculation	http://purl.obofoundry.org/obo/OBI_0200121	OBI_0200078		http://purl.obofoundry.org/obo/OBI_0200078		A standard deviation calculation is a descriptive statistics calculation defined as the square root of the variance.  Also thought of as the average distance of each value to the mean.		PERSON: Monnie McGee						From Monnie's file comments - need to add spread calculation role but they doesn't exist yet - (editor note added by James Jan 2008)							standard deviation calculation					Monnie McGee														
OBI_0100075	plant	http://purl.obofoundry.org/obo/OBI_0100075	OBI_0100030		http://purl.obofoundry.org/obo/OBI_0100030		Any of various photosynthetic, eukaryotic, multicellular organisms of the kingdom Plantae characteristically producing embryos, containing chloroplasts, having cellulose cell walls, and lacking the power of locomotion.		WEB: http://www.answers.com/topic/plant?cat=biz-fin									tree				plant					Melanie Courtot	James Malone													
OBI_0200117	mode calculation	http://purl.obofoundry.org/obo/OBI_0200117	OBI_0200078		http://purl.obofoundry.org/obo/OBI_0200078		A mode calulcation is a  descriptive statistics calculation in which the mode is calculated which is the most common value in a data set.  It is most often used as a measure of center for discrete data.		PERSON: James Malone	PERSON: Monnie McGee					From Monnie's file comments - need to add center_calculation role but it doesn't exist yet - (editor note added by James Jan 2008)							mode calculation					James Malone	Monnie McGee													
OBI_0200152	polynomial degree	http://purl.obofoundry.org/obo/OBI_0200152	OBI_0200140		http://purl.obofoundry.org/obo/OBI_0200140		The polynomial degree is a feature of a polynomial function defined as the highest power of the polynomial's terms, where the terms of a polynomial are the individual summands with the coefficients omitted.		PERSON: Elisabetta Manduchi													polynomial degree					Elisabetta Manduchi														
OBI_0000071	quantitative confidence value	http://purl.obofoundry.org/obo/OBI_0000071	OBI_0000142		http://purl.obofoundry.org/obo/OBI_0000142		A quantitative confidence value is a information content entity which is used to indicate the degree of uncertainty about a measurement. 		group:OBI													quantitative confidence value					person:Chris Stoeckert														
OBI_0400056	Influx_Cell_Sorter	http://purl.obofoundry.org/obo/OBI_0400056	OBI_0400099		http://purl.obofoundry.org/obo/OBI_0400099		A Influx Cell Sorter is a flow_cytometer_sorter manufactured by Cytopeia. It is a digital machine, with these laser options: Coherent 70, 90, 300 series water cooled lasers, solid state UV 355nm, Violet 408nm, Violet-Blue 479nm, Blue-488nm, Green-531nm, Red-635nm, Red-647nm. The sorting is multi-way, index, and proportional sorting. FIlters and PMTs are used for all parameters (including forward light scatter), and up to 12 PMTs can be included. The Influx cell sorter can be used to measure, sort, and collect ndividual cells.		http://www.cytopeia.com/sorter.htm									Influx Cell Sorter at TSRI Flow Cytometry Core Facility				Influx_Cell_Sorter					John Quinn														
OBI_0000214	negative reference substance role	http://purl.obofoundry.org/obo/OBI_0000214	OBI_0000025		http://purl.obofoundry.org/obo/OBI_0000025		Negative reference substance is a reference substance with the property that it is expected to produce little or no effect in the system being measured		source pending									Saline solution				Negative reference substance					Jennifer Fostel														
OBI_0000081	Psychological intervention	http://purl.obofoundry.org/obo/OBI_0000081	OBI_0000152		http://purl.obofoundry.org/obo/OBI_0000152		Psychological intervention is an intervention variable in which the varying parameter is a psychological therapy		source pending									Test of new psychological therapy				Psychological intervention					Jennifer Fostel														
OBI_0100035	immortal cell	http://purl.obofoundry.org/obo/OBI_0100035	CL_0000000		http://purl.org/obo/owl/CL#CL_0000000		a cell derived from a multicellular organism that has the potential to replicate indefinately		none						added as hierarchy term	PRS: 22-02-2008: need to submit immortal to PATO		a single Hela cell				immortal cell					Bjoern Peters														
OBI_0900007	dialysis tubing function	http://purl.obofoundry.org/obo/OBI_0900007	ObsoleteClass		http://www.geneontology.org/formats/oboInOwl#ObsoleteClass				PERSON:William Bug@2007/07/10													dialysis tubing function																			
OBI_0000190	solid_state	http://purl.obofoundry.org/obo/OBI_0000190	OBI_0000302		http://purl.obofoundry.org/obo/OBI_0000302		A solid state is a state in which the entity has no tendency to flow under moderate stress; resists forces (such as compression) which tend to deform it; and retains a definite size and shape. definition_source: http://wordnet.princeton.edu/perl/webwn?s=solid%20state, Jan 3, 2007.																																		
OBI_0000242	software_testing_objective	http://purl.obofoundry.org/obo/OBI_0000242	OBI_0000208		http://purl.obofoundry.org/obo/OBI_0000208		Software_testing_objective is a hardware_optimization role describing a study designed to examine the effects of using different software or software parameters, e.g. data processing software.		source pending									example_of_usage to be added				software_testing_objective					Jennifer Fostel														
OBI_0000337	realizable-information entity	http://purl.obofoundry.org/obo/OBI_0000337	OBI_0000333		http://purl.obofoundry.org/obo/OBI_0000333		is the specification of a process that can be concretized and realized by an actor		OBI branch derived													realizable-information entity																instruction			
OBI_0100058	xenograft	http://purl.obofoundry.org/obo/OBI_0100058	OBI_0000141		http://purl.obofoundry.org/obo/OBI_0000141		Living cells, tissues or organs that have been transplanted  from one species to another.		WEB: http://en.wikipedia.org/wiki/Xenograft						MC: xenotransplantation should be submited to material_transformation			Human xenotransplantation (e.g. from pig to human) offers a potential treatment for end-stage organ failure, a significant health problem in parts of the industrialized world				xenograft					Melanie Courtot											xenotransplant			
OBI_9999996	chromium_release_assay_target_role	http://purl.obofoundry.org/obo/OBI_9999996	OBI_0000236		http://purl.obofoundry.org/obo/OBI_0000236																																				
OBI_0000151	paper_filter	http://purl.obofoundry.org/obo/OBI_0000151	OBI_0400002		http://purl.obofoundry.org/obo/OBI_0400002		definition pending		source pending						editor_note pending			example_of_usage to be added				paper_filter					OBI Instrument branch														
OBI_0400152	software	http://purl.obofoundry.org/obo/OBI_0400152	OBI_0000334		http://purl.obofoundry.org/obo/OBI_0000334										DS: Plattform needs a few more idioms in the restrictions, e.g. has_part software. I suggest we create a _software bin/placeholder, since I imagine others will need to experiment with it too.																										
OBI_0600006	killing	http://purl.obofoundry.org/obo/OBI_0600006	OBI_0000094		http://purl.obofoundry.org/obo/OBI_0000094		A protocol application in which an organism is intentionally put to death		CEBS, Biomaterial_branch						difficult to place this properly - JG. Death process (e.g. unscheduled death) is out of scope but should be added somewhere. All killings have death process as a part, but not all death processes are part of a killing.			Terminal sacrifice of animals by cervical dislocation at the end of an investigation.				killing					Jennifer Fostel											death status type			
OBI_0000028	patent content	http://purl.obofoundry.org/obo/OBI_0000028	OBI_0000013		http://purl.obofoundry.org/obo/OBI_0000013		A patent content is a report for the purpose of obtaining a license from a government conferring for a set period the sole right to make, use, or sell some process or invention		group:OBI						need to distinguish the patent submission (which I think the term refers to) and the patent itself, which is what confers the rights. (Alan) Renamed from patent to patent submission. [Isn't the submission like a recipe, i.e. a realizable information entity, in that it tells you how to do something? no] Cristian: what is the difference b/w some document that has been patented, and the same document that has not been patented? The (informational) content is the same. It is just that the former has been encapsulated within some social mechanism, hence it has acquired some role. Hence 'patent' is a role.							patent content					person:Chris Stoeckert														
OBI_0000196	role of being impartial witness	http://purl.obofoundry.org/obo/OBI_0000196	OBI_0000016		http://purl.obofoundry.org/obo/OBI_0000016		An impartial witness is a regulation-assigned role in which informed consent of a potential study participant is witnessed								impartial witness. A person, who is independent of the trial, who cannot be unfairly influenced by people involved with the trial, who attends the informed consent process if the subject or the subject's legally acceptable representative cannot read, and who			According to GCP , an impartial witness should be present for an\nilliterate subject. PharmPK Discussion, http://www.boomer.org/pkin/PK06/PK2006253.html				Impartial witness					Jennifer Fostel														
OBI_0000200	_unclassified	http://purl.obofoundry.org/obo/OBI_0000200	ObsoleteClass		http://www.geneontology.org/formats/oboInOwl#ObsoleteClass		All classes yet to be suitably placed in a hierarchy		source pending									example_of_usage to be added					this class should eventually be removed				James Malone														
OBI_0200006	biexponential transformation	http://purl.obofoundry.org/obo/OBI_0200006	OBI_0200000		http://purl.obofoundry.org/obo/OBI_0200000		A biexponential transformation is a data transformation that, for each (one dimensional) real number input x, outputs an approximation (found, e.g. with the Newton's method) to a solution y of the equation B(y)-x=0, where B denotes a b transformation.		WEB: http://flowcyt.sourceforge.net/gating/latest.pdf									This type of transformation is typically used in flow cytometry.				biexponential transformation					Ryan Brinkman	Joseph Spliden	Elisabetta Manduchi												
OBI_0000124	role of being healthy volunteer	http://purl.obofoundry.org/obo/OBI_0000124	OBI_0000229		http://purl.obofoundry.org/obo/OBI_0000229		Healthy volunteer is a potential study participant role played by a person who is healthy in all aspects relevant to the trial		source pending						volunteer. A person volunteering to participate as a subject in a clinical trial, often a healthy person agreeing to participate in a Phase 1 trial. See			Person with controlled diabetes but high blood pressure (with respect to a study of blood pressure therapy)				Healthy volunteer					Jennifer Fostel														
OBI_0200082	longitudinal data analysis	http://purl.obofoundry.org/obo/OBI_0200082	OBI_0200067		http://purl.obofoundry.org/obo/OBI_0200067		graph_position_temporary																longitudinal data analysis																		
OBI_0600026	weight assessment	http://purl.obofoundry.org/obo/OBI_0600026	OBI_0000070		http://purl.obofoundry.org/obo/OBI_0000070		an assay in which the weight of an organism is measured over time		OBI branch derived						Alan says something is funny\n---\nThis is a description of what you did as opposed to the description of the assay. This should be more generic. something like 'mass_assay'\n			The comparison of the weight of vaccinated and non-vaccinated mice after infection with influenza A over 6 weeks post-infection				weight assessment					PlanAndPlannedProcess Branch														
OBI_0000087	Metabolite	http://purl.obofoundry.org/obo/OBI_0000087	OBI_0000236		http://purl.obofoundry.org/obo/OBI_0000236		A metabolite is a role characterized by being the product of catabolism or metabolism by a living organism		source pending						output of a process			N-acetyl-benzoquinoneimine (NAPQI) produced from acetaminophen				Metabolite	output of a process				Jennifer Fostel														
OBI_0600064	recombinant vector cloning	http://purl.obofoundry.org/obo/OBI_0600064	OBI_0000035		http://purl.obofoundry.org/obo/OBI_0000035		insertion of  a DNA fragment into a cloning vector which creates. Has input vectors + DNA fragments. Has output: recombinant vectors		OBI branch derived													recombinant vector cloning					pa_branch (Alan, Randi, Kevin, Jay, Bjoern)														
OBI_0000079	culture medium role	http://purl.obofoundry.org/obo/OBI_0000079	OBI_0000162		http://purl.obofoundry.org/obo/OBI_0000162		Culture medium is a nutrient provided to cells and tissue cultured in vitro		OBI									A growth medium or culture medium is a substance in which microorganisms or cells can grow.  Wikipedia, growth medium, Feb 29, 2008				Culture medium					Jennifer Fostel														
OBI_0200011	logicle transformation	http://purl.obofoundry.org/obo/OBI_0200011	OBI_0200000		http://purl.obofoundry.org/obo/OBI_0200000		A logicle transformation is a data transformation that, for each (one dimensional) real number input x, outputs an approximation (found, e.g. with the Newton's method) to a solution y of the equation S(y)-x=0, where S denotes an s transformation.		WEB: http://flowcyt.sourceforge.net/gating/latest.pdf									This type of transformation is typically used in flow cytometry.				logicle transformation					Ryan Brinkman	Elisabetta Manduchi	Joseph Spliden												
OBI_0000005	Conclusion	http://purl.obofoundry.org/obo/OBI_0000005	OBI_0000046		http://purl.obofoundry.org/obo/OBI_0000046		A conclusion is an information content entity which can be published in a paper summerizing and interpreting a protocol application.		source pending									example_of_usage to be added				Conclusion					Jennifer Fostel														
OBI_0100065	synthetic polypeptide	http://purl.obofoundry.org/obo/OBI_0100065	OBI_0100059		http://purl.obofoundry.org/obo/OBI_0100059		artificially engineered biomaterial consisting of a chain of amino acids		IEDB						original term: protein fragment split into synthetic polypeptide and fragment derived from protein\nDS: Is this synthetic an oxymoron to the biomaterial?	PRS:22-02-2008: a chebi entity which has output role in a synthesis protocol application		the synthesized peptide SIINFEKL which also occurs in hen-egg lysozyme				synthetic polypeptide					Bjoern Peters														
OBI_0200039	clustering method	http://purl.obofoundry.org/obo/OBI_0200039	OBI_0200067		http://purl.obofoundry.org/obo/OBI_0200067		Clustering is the partitioning of a data set into related subsets (clusters), the input is a single cluster of data and the output is partitioned data or information on cluster labels		editor													clustering method					James Malone														
OBI_0600017	detection of label	http://purl.obofoundry.org/obo/OBI_0600017	OBI_0000070		http://purl.obofoundry.org/obo/OBI_0000070		the detection of the amount of a label which is a proxy for the detection of the labeled biomaterial		OBI branch derived									Determination of the amount of phycoerytherin label present in a cell population stained with anti-CD8-PE in order to determine the percentage of CD8+ T cells present				detection of label					PERSON:Bjoern Peters														
OBI_0400047	gas_laser	http://purl.obofoundry.org/obo/OBI_0400047	OBI_0400064		http://purl.obofoundry.org/obo/OBI_0400064		A gas laser is a laser in which the lasing medium is a gas. The laser medium is places between two parallel mirrors for light emmission amplification. The gas is excited to emit light via an external light source or an electric current dischargeing through the gas.		John Quinn									helium-neon gas laser used to erradiate cells in a flow cytometer.				gas_laser	http://en.wikipedia.org/wiki/Gas_laser				Daniel Schober														
OBI_0400066	logarithmic_voltage_amplifier	http://purl.obofoundry.org/obo/OBI_0400066	OBI_0400101		http://purl.obofoundry.org/obo/OBI_0400101		A logarithmic voltage amplifier is an analog electronic circuit that puts out a voltage or current proportioal o the voltage or current at its input, with logarithmic proportionality. In an analog system, the logarithmic voltage amplifier is used to present parameters with a high dynamic range on a more useful scale.		Practical Flow Cytometry 4th Edition, Howard Shapiro, ISBN-10: 0471411256, ISBN-13: 978-0471411253									HLVA-100 logarithmic voltage amplifier developed by FEMTO Messtechnik, GmbH				logarithmic_voltage_amplifier					John Quinn														
CHEBI_23091	chemical entity	http://purl.org/obo/owl/CHEBI#CHEBI_23091	OBI_0000141		http://purl.obofoundry.org/obo/OBI_0000141		A molecular entity is any constitutionally or isotopically distinct atom, molecule, ion, ion pair, radical, radical ion, complex, conformer etc., identifiable as a separately distinguishable entity.															chemical entity																			
OBI_0600013	data collection	http://purl.obofoundry.org/obo/OBI_0600013	OBI_0600008		http://purl.obofoundry.org/obo/OBI_0600008		is an aquisition of information from an organization that provides information.		OBI branch derived									Gathering all influenza HA sequences from GenBank, Retrieveing HLA allele frequencies in the North American populations from dbMHC				data collection					Bjoern Peters														
