Source Name	Characteristics [OrganismPart]	Characteristics [BioSourceType]	Term Source REF	Characteristics [Organism]	Term Source REF	Characteristics [TargetedCellType]	Provider	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Term Source REF	Protocol REF	Protocol REF	Hybridization Name	Array Design REF	Term Source REF	Comment [Array Design URI]	Factor Value [OrganismPart]	Factor Value [CellType]	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Comment [ArrayExpress Data Retrieval URI]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	Comment [Derived ArrayExpress Data Retrieval URI]
O	blood	fresh_sample	The MGED Ontology	Homo sapiens	NCBI Taxonomy	BDCA1+ dendritic cell	Lund University Hospital	P-TABM-58	O	P-TABM-60	O	total_RNA	P-TABM-59	O biotin	biotin	synthetic_RNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-EukGE-WS2v5	P-AFFY-6	PBA: O	A-AFFY-44	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&amp;aAccession=A-AFFY-44	blood	BDCA1+ dendritic cell	HYB:TABM:E-TABM-34:19	E-TABM-34-raw-cel-1202011096.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-34/E-TABM-34.raw.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1202393800	Affymetrix:Protocol:ExpressionStat	E-TABM-34-processed-data-1343526811.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-34/E-TABM-34.processed.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1202393800
C	tonsil	fresh_sample	The MGED Ontology	Homo sapiens	NCBI Taxonomy	plasmacytoid dendritic cell	Lund University Hospital	P-TABM-57	C	P-TABM-60	C	total_RNA	P-TABM-59	C biotin	biotin	synthetic_RNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-EukGE-WS2v5	P-AFFY-6	PBA: C	A-AFFY-44	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&amp;aAccession=A-AFFY-44	tonsil	plasmacytoid dendritic cell	HYB:TABM:E-TABM-34:6	E-TABM-34-raw-cel-1202010167.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-34/E-TABM-34.raw.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1202393800	Affymetrix:Protocol:ExpressionStat	E-TABM-34-processed-data-1343526811.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-34/E-TABM-34.processed.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1202393800
K	blood	fresh_sample	The MGED Ontology	Homo sapiens	NCBI Taxonomy	plasmacytoid dendritic cell	Lund University Hospital	P-TABM-58	K	P-TABM-60	K	total_RNA	P-TABM-59	K biotin	biotin	synthetic_RNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-EukGE-WS2v5	P-AFFY-6	PBA: K	A-AFFY-44	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&amp;aAccession=A-AFFY-44	blood	plasmacytoid dendritic cell	HYB:TABM:E-TABM-34:15	E-TABM-34-raw-cel-1202010765.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-34/E-TABM-34.raw.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1202393800	Affymetrix:Protocol:ExpressionStat	E-TABM-34-processed-data-1343526811.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-34/E-TABM-34.processed.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1202393800
F	tonsil	fresh_sample	The MGED Ontology	Homo sapiens	NCBI Taxonomy	BDCA1+ dendritic cell	Lund University Hospital	P-TABM-57	F	P-TABM-60	F	total_RNA	P-TABM-59	F biotin	biotin	synthetic_RNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-EukGE-WS2v5	P-AFFY-6	PBA: F	A-AFFY-44	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&amp;aAccession=A-AFFY-44	tonsil	BDCA1+ dendritic cell	HYB:TABM:E-TABM-34:9	E-TABM-34-raw-cel-1202010400.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-34/E-TABM-34.raw.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1202393800	Affymetrix:Protocol:ExpressionStat	E-TABM-34-processed-data-1343526811.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-34/E-TABM-34.processed.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1202393800
D	tonsil	fresh_sample	The MGED Ontology	Homo sapiens	NCBI Taxonomy	BDCA1+ dendritic cell	Lund University Hospital	P-TABM-57	D	P-TABM-60	D	total_RNA	P-TABM-59	D biotin	biotin	synthetic_RNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-EukGE-WS2v5	P-AFFY-6	PBA: D	A-AFFY-44	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&amp;aAccession=A-AFFY-44	tonsil	BDCA1+ dendritic cell	HYB:TABM:E-TABM-34:7	E-TABM-34-raw-cel-1202010257.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-34/E-TABM-34.raw.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1202393800	Affymetrix:Protocol:ExpressionStat	E-TABM-34-processed-data-1343526811.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-34/E-TABM-34.processed.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1202393800
R	blood	fresh_sample	The MGED Ontology	Homo sapiens	NCBI Taxonomy	BDCA3+ dendritic cell	Lund University Hospital	P-TABM-58	R	P-TABM-60	R	total_RNA	P-TABM-59	R biotin	biotin	synthetic_RNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-EukGE-WS2v5	P-AFFY-6	PBA: R	A-AFFY-44	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&amp;aAccession=A-AFFY-44	blood	BDCA3+ dendritic cell	HYB:TABM:E-TABM-34:22	E-TABM-34-raw-cel-1202011334.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-34/E-TABM-34.raw.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1202393800	Affymetrix:Protocol:ExpressionStat	E-TABM-34-processed-data-1343526811.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-34/E-TABM-34.processed.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1202393800
E	tonsil	fresh_sample	The MGED Ontology	Homo sapiens	NCBI Taxonomy	BDCA1+ dendritic cell	Lund University Hospital	P-TABM-57	E	P-TABM-60	E	total_RNA	P-TABM-59	E biotin	biotin	synthetic_RNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-EukGE-WS2v5	P-AFFY-6	PBA: E	A-AFFY-44	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&amp;aAccession=A-AFFY-44	tonsil	BDCA1+ dendritic cell	HYB:TABM:E-TABM-34:8	E-TABM-34-raw-cel-1202010336.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-34/E-TABM-34.raw.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1202393800	Affymetrix:Protocol:ExpressionStat	E-TABM-34-processed-data-1343526811.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-34/E-TABM-34.processed.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1202393800
Q	blood	fresh_sample	The MGED Ontology	Homo sapiens	NCBI Taxonomy	BDCA3+ dendritic cell	Lund University Hospital	P-TABM-58	Q	P-TABM-60	Q	total_RNA	P-TABM-59	Q biotin	biotin	synthetic_RNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-EukGE-WS2v5	P-AFFY-6	PBA: Q	A-AFFY-44	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&amp;aAccession=A-AFFY-44	blood	BDCA3+ dendritic cell	HYB:TABM:E-TABM-34:21	E-TABM-34-raw-cel-1202011251.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-34/E-TABM-34.raw.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1202393800	Affymetrix:Protocol:ExpressionStat	E-TABM-34-processed-data-1343526811.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-34/E-TABM-34.processed.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1202393800
N	blood	fresh_sample	The MGED Ontology	Homo sapiens	NCBI Taxonomy	BDCA1+ dendritic cell	Lund University Hospital	P-TABM-58	N	P-TABM-60	N	total_RNA	P-TABM-59	N biotin	biotin	synthetic_RNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-EukGE-WS2v5	P-AFFY-6	PBA: N	A-AFFY-44	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&amp;aAccession=A-AFFY-44	blood	BDCA1+ dendritic cell	HYB:TABM:E-TABM-34:18	E-TABM-34-raw-cel-1202011015.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-34/E-TABM-34.raw.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1202393800	Affymetrix:Protocol:ExpressionStat	E-TABM-34-processed-data-1343526811.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-34/E-TABM-34.processed.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1202393800
J	blood	fresh_sample	The MGED Ontology	Homo sapiens	NCBI Taxonomy	plasmacytoid dendritic cell	Lund University Hospital	P-TABM-58	J	P-TABM-60	J	total_RNA	P-TABM-59	J biotin	biotin	synthetic_RNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-EukGE-WS2v5	P-AFFY-6	PBA: J	A-AFFY-44	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&amp;aAccession=A-AFFY-44	blood	plasmacytoid dendritic cell	HYB:TABM:E-TABM-34:13	E-TABM-34-raw-cel-1202010692.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-34/E-TABM-34.raw.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1202393800	Affymetrix:Protocol:ExpressionStat	E-TABM-34-processed-data-1343526811.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-34/E-TABM-34.processed.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1202393800
S	blood	fresh_sample	The MGED Ontology	Homo sapiens	NCBI Taxonomy	CD16+ dendritic	Lund University Hospital	P-TABM-58	S	P-TABM-60	S	total_RNA	P-TABM-59	S biotin	biotin	synthetic_RNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-EukGE-WS2v5	P-AFFY-6	PBA: S	A-AFFY-44	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&amp;aAccession=A-AFFY-44	blood	CD16+ dendritic	HYB:TABM:E-TABM-34:23	E-TABM-34-raw-cel-1202011405.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-34/E-TABM-34.raw.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1202393800	Affymetrix:Protocol:ExpressionStat	E-TABM-34-processed-data-1343526811.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-34/E-TABM-34.processed.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1202393800
